,binomial,AdultBodyMassG,Order,Family,Genus,RedListStatus,TrophicLevel
3700,Rhynchomys isarogensis,122.29,RODENTIA,MURIDAE,Rhynchomys,VU,Insectivore
3701,Rhynchomys soricoides,187,RODENTIA,MURIDAE,Rhynchomys,NT,Insectivore
3702,Rhynchomys tapulao,154.645,RODENTIA,MURIDAE,Rhynchomys,DD,Insectivore
3703,Rhynchonycteris naso,4.14,CHIROPTERA,EMBALLONURIDAE,Rhynchonycteris,LC,Insectivore
3704,Rousettus aegyptiacus,134,CHIROPTERA,PTEROPODIDAE,Rousettus,LC,Herbivore
3705,Rousettus amplexicaudatus,74.37,CHIROPTERA,PTEROPODIDAE,Rousettus,LC,Herbivore
3706,Rousettus celebensis,63.07,CHIROPTERA,PTEROPODIDAE,Rousettus,LC,Herbivore
3707,Rousettus lanosus,104.78,CHIROPTERA,PTEROPODIDAE,Rousettus,LC,Herbivore
3708,Rousettus leschenaultii,84.88,CHIROPTERA,PTEROPODIDAE,Rousettus,LC,Herbivore
3709,Rousettus linduensis,83.0575,CHIROPTERA,PTEROPODIDAE,Rousettus,DD,Herbivore
3710,Rousettus madagascariensis,65.72,CHIROPTERA,PTEROPODIDAE,Rousettus,NT,Herbivore
3711,Rousettus obliviosus,45.32,CHIROPTERA,PTEROPODIDAE,Rousettus,VU,Herbivore
3712,Rousettus spinalatus,92.32,CHIROPTERA,PTEROPODIDAE,Rousettus,VU,Herbivore
3713,Rubrisciurus rubriventer,685,RODENTIA,SCIURIDAE,Rubrisciurus,VU,Herbivore
3714,Rusa marianna,49457.61,CETARTIODACTYLA,CERVIDAE,Rusa,VU,Herbivore
3715,Rusa unicolor,177522.9,CETARTIODACTYLA,CERVIDAE,Rusa,VU,Herbivore
3716,Ruwenzorisorex suncoides,18.2,EULIPOTYPHLA,SORICIDAE,Ruwenzorisorex,VU,Insectivore
3717,Saccolaimus flaviventris,45.25,CHIROPTERA,EMBALLONURIDAE,Saccolaimus,LC,Insectivore
3718,Saccolaimus mixtus,47.2,CHIROPTERA,EMBALLONURIDAE,Saccolaimus,NT,Insectivore
3719,Saccolaimus peli,53.35,CHIROPTERA,EMBALLONURIDAE,Saccolaimus,LC,Insectivore
3720,Saccolaimus saccolaimus,43,CHIROPTERA,EMBALLONURIDAE,Saccolaimus,LC,Insectivore
3721,Saccopteryx antioquensis,5.745,CHIROPTERA,EMBALLONURIDAE,Saccopteryx,EN,Insectivore
3722,Saccopteryx bilineata,8.08,CHIROPTERA,EMBALLONURIDAE,Saccopteryx,LC,Insectivore
3723,Saccopteryx canescens,3.41,CHIROPTERA,EMBALLONURIDAE,Saccopteryx,LC,Insectivore
3724,Saccopteryx gymnura,5.745,CHIROPTERA,EMBALLONURIDAE,Saccopteryx,DD,Insectivore
3725,Saccopteryx leptura,5.745,CHIROPTERA,EMBALLONURIDAE,Saccopteryx,LC,Insectivore
3726,Saccostomus campestris,50.33,RODENTIA,NESOMYIDAE,Saccostomus,LC,Omnivore
3727,Saccostomus mearnsi,64.91,RODENTIA,NESOMYIDAE,Saccostomus,LC,Omnivore
3728,Saguinus bicolor,465,PRIMATES,CALLITRICHIDAE,Saguinus,EN,Omnivore
3729,Saguinus geoffroyi,492.5,PRIMATES,CALLITRICHIDAE,Saguinus,LC,Omnivore
3730,Saguinus imperator,407.91,PRIMATES,CALLITRICHIDAE,Saguinus,LC,Omnivore
3731,Saguinus inustus,803,PRIMATES,CALLITRICHIDAE,Saguinus,LC,Omnivore
3732,Saguinus labiatus,508.46,PRIMATES,CALLITRICHIDAE,Saguinus,LC,Omnivore
3733,Saguinus leucopus,456.68,PRIMATES,CALLITRICHIDAE,Saguinus,EN,Omnivore
3734,Saguinus martinsi,430,PRIMATES,CALLITRICHIDAE,Saguinus,LC,Omnivore
3735,Saguinus melanoleucus,350,PRIMATES,CALLITRICHIDAE,Saguinus,LC,Omnivore
