,binomial,AdultBodyMassG,Order,Family,Genus,RedListStatus,TrophicLevel
3583,Rhinolophus alcyone,18.62,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,LC,Insectivore
3584,Rhinolophus arcuatus,8.98,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,LC,Insectivore
3585,Rhinolophus beddomei,11.14952381,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,LC,Insectivore
3586,Rhinolophus blasii,10.29,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,LC,Insectivore
3587,Rhinolophus bocharicus,15.05,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,LC,Insectivore
3588,Rhinolophus borneensis,11.14952381,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,LC,Insectivore
3589,Rhinolophus canuti,11.14952381,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,VU,Insectivore
3590,Rhinolophus capensis,12.87,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,LC,Insectivore
3591,Rhinolophus celebensis,11.14952381,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,LC,Insectivore
3592,Rhinolophus clivosus,11.14952381,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,LC,Insectivore
3593,Rhinolophus coelophyllus,7.07,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,LC,Insectivore
3594,Rhinolophus cognatus,11.14952381,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,EN,Insectivore
3595,Rhinolophus convexus,11.14952381,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,DD,Insectivore
3596,Rhinolophus creaghi,11.14952381,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,LC,Insectivore
3597,Rhinolophus darlingi,8.94,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,LC,Insectivore
3598,Rhinolophus deckenii,11.14952381,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,NT,Insectivore
3599,Rhinolophus denti,6.3,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,LC,Insectivore
3600,Rhinolophus eloquens,19.15,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,LC,Insectivore
3601,Rhinolophus euryale,9.25,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,NT,Insectivore
3602,Rhinolophus euryotis,14.3,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,LC,Insectivore
3603,Rhinolophus ferrumequinum,22.59,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,LC,Insectivore
3604,Rhinolophus formosae,11.14952381,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,NT,Insectivore
3605,Rhinolophus fumigatus,13.09,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,LC,Insectivore
3606,Rhinolophus guineensis,11.14952381,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,VU,Insectivore
3607,Rhinolophus hilli,13.6,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,CR,Insectivore
3608,Rhinolophus hillorum,11.14952381,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,NT,Insectivore
3609,Rhinolophus hipposideros,4.57,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,LC,Insectivore
3610,Rhinolophus inops,13.65,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,LC,Insectivore
3611,Rhinolophus keyensis,6.26,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,DD,Insectivore
3612,Rhinolophus landeri,9.39,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,LC,Insectivore
3613,Rhinolophus lepidus,5.46,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,LC,Insectivore
3614,Rhinolophus luctus,34.07,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,LC,Insectivore
3615,Rhinolophus maclaudi,11.14952381,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,EN,Insectivore
3616,Rhinolophus macrotis,6.18,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,LC,Insectivore
3617,Rhinolophus madurensis,11.14952381,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,VU,Insectivore
3618,Rhinolophus maendeleo,11.14952381,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,DD,Insectivore
3619,Rhinolophus malayanus,6.73,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,LC,Insectivore
3620,Rhinolophus marshalli,5.02,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,LC,Insectivore
3621,Rhinolophus megaphyllus,10.17,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,LC,Insectivore
3622,Rhinolophus mehelyi,14.03,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,VU,Insectivore
3623,Rhinolophus mitratus,11.14952381,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,DD,Insectivore
3624,Rhinolophus montanus,11.14952381,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,EN,Insectivore
3625,Rhinolophus nereis,11.14952381,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,DD,Insectivore
3626,Rhinolophus osgoodi,11.14952381,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,DD,Insectivore
3627,Rhinolophus paradoxolophus,8.17,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,LC,Insectivore
3628,Rhinolophus pearsonii,11.55,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,LC,Insectivore
3629,Rhinolophus philippinensis,10.91,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,LC,Insectivore
3630,Rhinolophus pusillus,5.15,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,LC,Insectivore
3631,Rhinolophus rex,11.14952381,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,LC,Insectivore
3632,Rhinolophus robinsoni,8.54,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,NT,Insectivore
3633,Rhinolophus rouxii,12.25,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,LC,Insectivore
