,binomial,AdultBodyMassG,Order,Family,Genus,RedListStatus,TrophicLevel,Range_km_2
134,Alticola montosa,46.25861204,RODENTIA,CRICETIDAE,Alticola,VU,Herbivore,6106.0704711591
135,Alticola olchonensis,42.21130602,RODENTIA,CRICETIDAE,Alticola,EN,Herbivore,1252.5272761352
136,Alticola roylei,37.0,RODENTIA,CRICETIDAE,Alticola,NT,Herbivore,17065.6841373421
137,Alticola semicanus,46.25861204,RODENTIA,CRICETIDAE,Alticola,LC,Herbivore,6888.9000187436
138,Alticola stoliczkanus,30.14,RODENTIA,CRICETIDAE,Alticola,LC,Herbivore,1197885.7737138
139,Alticola strelzowi,49.99,RODENTIA,CRICETIDAE,Alticola,LC,Herbivore,75934.4661156965
140,Alticola tuvinicus,46.25861204,RODENTIA,CRICETIDAE,Alticola,LC,Herbivore,1095.9613666183
141,Amblysomus corriae,44.845,AFROSORICIDA,CHRYSOCHLORIDAE,Amblysomus,NT,Carnivore,45404.113759901
142,Amblysomus hottentotus,62.6,AFROSORICIDA,CHRYSOCHLORIDAE,Amblysomus,LC,Carnivore,142631.543569896
143,Amblysomus marleyi,36.245,AFROSORICIDA,CHRYSOCHLORIDAE,Amblysomus,EN,Carnivore,1722.2250046859
144,Amblysomus robustus,79.5,AFROSORICIDA,CHRYSOCHLORIDAE,Amblysomus,VU,Carnivore,156.5659095169
145,Amblysomus septentrionalis,25.35,AFROSORICIDA,CHRYSOCHLORIDAE,Amblysomus,NT,Carnivore,14717.1954945886
146,Ametrida centurio,10.61,CHIROPTERA,PHYLLOSTOMIDAE,Ametrida,LC,Herbivore,2493938.3726947
147,Ammodillus imbellis,49.99,RODENTIA,MURIDAE,Ammodillus,DD,Omnivore,6888.9000187436
148,Ammospermophilus harrisii,126.57,RODENTIA,SCIURIDAE,Ammospermophilus,LC,Omnivore,626.2636380676
149,Ammospermophilus interpres,112.53,RODENTIA,SCIURIDAE,Ammospermophilus,LC,Omnivore,3757.5818284056
150,Ammospermophilus leucurus,103.92,RODENTIA,SCIURIDAE,Ammospermophilus,LC,Omnivore,121651.711694631
151,Ammospermophilus nelsoni,160.42,RODENTIA,SCIURIDAE,Ammospermophilus,EN,Omnivore,16282.8545897576
152,Amorphochilus schnablii,3.3,CHIROPTERA,FURIPTERIDAE,Amorphochilus,VU,Carnivore,14404.0636755548
153,Amphinectomys savamis,214.0,RODENTIA,CRICETIDAE,Amphinectomys,DD,Omnivore,20666.7000562308
154,Anathana ellioti,160.0,SCANDENTIA,TUPAIIDAE,Anathana,LC,Omnivore,199621.534634047
155,Andalgalomys olrogi,32.9,RODENTIA,CRICETIDAE,Andalgalomys,LC,Omnivore,18631.3432325111
156,Andalgalomys pearsoni,25.4,RODENTIA,CRICETIDAE,Andalgalomys,LC,Omnivore,156.5659095169
157,Andinomys edax,69.75,RODENTIA,CRICETIDAE,Andinomys,LC,Herbivore,114919.377585405
