,binomial,AdultBodyMassG,RedListStatus,total_pop,TrophicLevel,Order,Range_km_2
133,Gazella subgutturosa,26981.37,VU,68048.0,Herbivore,CETARTIODACTYLA,3456975.28213315
134,Genetta bourloni,1865.378167,VU,14775.0,Carnivore,CARNIVORA,87363.7775104302
135,Genetta cristata,1863.23,VU,10500.0,Carnivore,CARNIVORA,76247.5979347303
136,Genetta piscivora,1648.05,NT,15000.0,Carnivore,CARNIVORA,146545.691307818
137,Geocapromys ingrahami,733.52,VU,13000.0,Herbivore,RODENTIA,18.5890795058594
138,Giraffa camelopardalis,964654.7,VU,97562.0,Herbivore,CETARTIODACTYLA,1432734.63798915
139,Gorilla beringei,149325.2,CR,3800.0,Herbivore,PRIMATES,44308.1523932827
140,Gorilla gorilla,112589.0,CR,320000.0,Herbivore,PRIMATES,326753.05316177
141,Gymnobelideus leadbeateri,137.32,CR,3750.0,Omnivore,DIPROTODONTIA,1878.7909142028
142,Hapalemur alaotrensis,1616.83,CR,2500.0,Herbivore,PRIMATES,313.1318190338
143,Hapalemur aureus,1562.41,CR,630.0,Herbivore,PRIMATES,469.6977285507
144,Hippocamelus antisensis,68599.35,VU,18187.0,Herbivore,CETARTIODACTYLA,360571.289617421
145,Hippocamelus bisulcus,69240.81,EN,1881.0,Herbivore,CETARTIODACTYLA,76560.7297537641
146,Hippopotamus amphibius,1536310.0,VU,122270.0,Herbivore,CETARTIODACTYLA,281348.939401869
147,Hipposideros halophyllus,4.0,VU,7500.0,Carnivore,CHIROPTERA,1095.9613666183
148,Hipposideros hypophyllus,21.81,CR,260.0,Carnivore,CHIROPTERA,6732.3341092267
149,Hipposideros inornatus,25.9,VU,821.0,Carnivore,CHIROPTERA,6106.0704711591
150,Hippotragus equinus,264174.0,LC,76000.0,Herbivore,CETARTIODACTYLA,3669278.65543807
151,Hippotragus niger,236405.9,LC,75000.0,Herbivore,CETARTIODACTYLA,1683866.35685426
152,Hoolock leuconedys,6709.768933,VU,22711.0,Omnivore,PRIMATES,76247.5979347303
153,Hyaena hyaena,35070.51,NT,10606.0,Omnivore,CARNIVORA,4410931.36881962
154,Hyemoschus aquaticus,10850.0,LC,278000.0,Herbivore,CETARTIODACTYLA,1095961.3666183
155,Hylobates klossii,5822.29,EN,33541.0,Omnivore,PRIMATES,4227.2795569563
156,Hylobates moloch,5860.81,EN,6708.0,Herbivore,PRIMATES,15186.8932231393
157,Hylobates pileatus,5542.37,EN,70500.0,Omnivore,PRIMATES,48222.3001312052
158,Hypogeomys antimena,1175.93,EN,54000.0,Omnivore,RODENTIA,313.1318190338
159,Indri indri,8565.48,CR,3162.0,Herbivore,PRIMATES,19570.7386896125
160,Isoodon auratus,425.0,VU,45000.0,Carnivore,PERAMELEMORPHIA,12994.9704899027
161,Isoodon obesulus,824.76,LC,47434.0,Carnivore,PERAMELEMORPHIA,103490.066190671
162,Kobus ellipsiprymnus,204393.5,LC,200000.0,Herbivore,CETARTIODACTYLA,762632.54525682
163,Kobus kob,80035.21,LC,1060660.0,Herbivore,CETARTIODACTYLA,3131.318190338
164,Kobus leche,88645.04,NT,158750.0,Herbivore,CETARTIODACTYLA,7828.295475845
165,Kobus vardonii,71462.72,NT,130000.0,Herbivore,CETARTIODACTYLA,74368.8070205275
166,Lagorchestes hirsutus,1407.14,VU,6000.0,Herbivore,DIPROTODONTIA,156.5659095169
167,Lagostrophus fasciatus,1933.48,VU,6364.0,Herbivore,DIPROTODONTIA,156.5659095169
168,Lama guanicoe,120000.0,LC,1816590.0,Herbivore,CETARTIODACTYLA,778602.268027544
169,Lasiorhinus krefftii,31849.99,CR,120.0,Herbivore,DIPROTODONTIA,156.5659095169
170,Lasiorhinus latifrons,26163.8,NT,270000.0,Herbivore,DIPROTODONTIA,46969.77285507
171,Leontopithecus caissara,604.01,CR,400.0,Omnivore,PRIMATES,205.643091576172
172,Leontopithecus chrysomelas,572.8,EN,9487.0,Omnivore,PRIMATES,6888.9000187436
173,Leontopithecus chrysopygus,656.12,EN,1500.0,Omnivore,PRIMATES,13777.8000374872
174,Leontopithecus rosalia,592.52,EN,1500.0,Omnivore,PRIMATES,4070.7136474394
175,Leopardus guigna,2200.0,VU,35201.0,Carnivore,CARNIVORA,100985.0116384
176,Leopardus guttulus,2250.0,VU,9070.5,Carnivore,CARNIVORA,1229355.5215267
177,Leopardus jacobita,8133.78,EN,2755.0,Carnivore,CARNIVORA,439323.942104421
178,Leopardus tigrinus,2250.0,VU,14323.0,Carnivore,CARNIVORA,4292880.67304388
179,Lepilemur jamesorum,726.98875,CR,1386.0,Herbivore,PRIMATES,156.5659095169
180,Lepilemur septentrionalis,755.77,CR,11.0,Herbivore,PRIMATES,139.307317835449
181,Leporillus conditor,328.82,NT,5196.0,Herbivore,RODENTIA,626.2636380676
