,Unnamed: 0,binomial,AdultBodyMassG,RedListStatus,total_pop,TrophicLevel,Order,Range_km_2,gen_length_d
127,127,Galidictis grandidieri,1400,EN,237,Carnivore,CARNIVORA,1095.9613666183,1754.1
128,128,Gazella arabica,24124.67,VU,8874,Herbivore,CETARTIODACTYLA,17378.8159563759,2137.174017
129,129,Gazella bennettii,18916.67,LC,88741,Herbivore,CETARTIODACTYLA,2278033.98347089,2141.73375
130,130,Gazella gazella,21306.83,EN,3000,Herbivore,CETARTIODACTYLA,4383.8454664732,2190
131,131,Gazella leptoceros,24645.75,EN,636,Herbivore,CETARTIODACTYLA,590253.478878713,1729.8227
132,132,Gazella marica,26981.37,VU,2910,Herbivore,CETARTIODACTYLA,2367119.98598601,1729.8227
133,133,Gazella subgutturosa,26981.37,VU,68048,Herbivore,CETARTIODACTYLA,3456975.28213315,2496.146667
134,134,Genetta bourloni,1865.378167,VU,14775,Carnivore,CARNIVORA,87363.7775104302,2555
135,135,Genetta cristata,1863.23,VU,10500,Carnivore,CARNIVORA,76247.5979347303,2555
136,136,Genetta piscivora,1648.05,NT,15000,Carnivore,CARNIVORA,146545.691307818,2423.6
137,137,Geocapromys ingrahami,733.52,VU,13000,Herbivore,RODENTIA,18.5890795058594,1153.4
138,138,Giraffa camelopardalis,964654.7,VU,97562,Herbivore,CETARTIODACTYLA,1432734.63798915,5251.011667
139,139,Gorilla beringei,149325.2,CR,3800,Herbivore,PRIMATES,44308.1523932827,7300
140,140,Gorilla gorilla,112589,CR,320000,Herbivore,PRIMATES,326753.05316177,8030
141,141,Gymnobelideus leadbeateri,137.32,CR,3750,Omnivore,DIPROTODONTIA,1878.7909142028,1587.5675
142,142,Hapalemur alaotrensis,1616.83,CR,2500,Herbivore,PRIMATES,313.1318190338,3285
143,143,Hapalemur aureus,1562.41,CR,630,Herbivore,PRIMATES,469.6977285507,3285
144,144,Hippocamelus antisensis,68599.35,VU,18187,Herbivore,CETARTIODACTYLA,360571.289617421,1459.26
145,145,Hippocamelus bisulcus,69240.81,EN,1881,Herbivore,CETARTIODACTYLA,76560.7297537641,2617.55
146,146,Hippopotamus amphibius,1536310,VU,122270,Herbivore,CETARTIODACTYLA,281348.939401869,3650
147,147,Hipposideros halophyllus,4,VU,7500,Carnivore,CHIROPTERA,1095.9613666183,1834.2256
148,148,Hipposideros hypophyllus,21.81,CR,260,Carnivore,CHIROPTERA,6732.3341092267,1834.2256
149,149,Hipposideros inornatus,25.9,VU,821,Carnivore,CHIROPTERA,6106.0704711591,1834.2256
150,150,Hippotragus equinus,264174,LC,76000,Herbivore,CETARTIODACTYLA,3669278.65543807,3070.224367
151,151,Hippotragus niger,236405.9,LC,75000,Herbivore,CETARTIODACTYLA,1683866.35685426,3053.3552
152,152,Hoolock leuconedys,6709.768933,VU,22711,Omnivore,PRIMATES,76247.5979347303,5418.846154
153,153,Hyaena hyaena,35070.51,NT,10606,Omnivore,CARNIVORA,4410931.36881962,3351.042633
154,154,Hyemoschus aquaticus,10850,LC,278000,Herbivore,CETARTIODACTYLA,1095961.3666183,1930.0898
155,155,Hylobates klossii,5822.29,EN,33541,Omnivore,PRIMATES,4227.2795569563,5475
156,156,Hylobates moloch,5860.81,EN,6708,Herbivore,PRIMATES,15186.8932231393,5370.714286
157,157,Hylobates pileatus,5542.37,EN,70500,Omnivore,PRIMATES,48222.3001312052,5475
158,158,Hypogeomys antimena,1175.93,EN,54000,Omnivore,RODENTIA,313.1318190338,2006.8029
159,159,Indri indri,8565.48,CR,3162,Herbivore,PRIMATES,19570.7386896125,4015
160,160,Isoodon auratus,425,VU,45000,Carnivore,PERAMELEMORPHIA,12994.9704899027,683.31225
161,161,Isoodon obesulus,824.76,LC,47434,Carnivore,PERAMELEMORPHIA,103490.066190671,683.31225
162,162,Kobus ellipsiprymnus,204393.5,LC,200000,Herbivore,CETARTIODACTYLA,762632.54525682,3821.3904
163,163,Kobus kob,80035.21,LC,1060660,Herbivore,CETARTIODACTYLA,3131.318190338,2600.267433
164,164,Kobus leche,88645.04,NT,158750,Herbivore,CETARTIODACTYLA,7828.295475845,2660.837833
165,165,Kobus vardonii,71462.72,NT,130000,Herbivore,CETARTIODACTYLA,74368.8070205275,2555
166,166,Lagorchestes hirsutus,1407.14,VU,6000,Herbivore,DIPROTODONTIA,156.5659095169,1100.21785
167,167,Lagostrophus fasciatus,1933.48,VU,6364,Herbivore,DIPROTODONTIA,156.5659095169,2311.607416
168,168,Lama guanicoe,120000,LC,1816590,Herbivore,CETARTIODACTYLA,778602.268027544,4064.145
169,169,Lasiorhinus krefftii,31849.99,CR,120,Herbivore,DIPROTODONTIA,156.5659095169,3354.315
170,170,Lasiorhinus latifrons,26163.8,NT,270000,Herbivore,DIPROTODONTIA,46969.77285507,3354.315
171,171,Leontopithecus caissara,604.01,CR,400,Omnivore,PRIMATES,205.643091576172,3078.3735
172,172,Leontopithecus chrysomelas,572.8,EN,9487,Omnivore,PRIMATES,6888.9000187436,2555
173,173,Leontopithecus chrysopygus,656.12,EN,1500,Omnivore,PRIMATES,13777.8000374872,3078.3735
174,174,Leontopithecus rosalia,592.52,EN,1500,Omnivore,PRIMATES,4070.7136474394,3601.747
175,175,Leopardus guigna,2200,VU,35201,Carnivore,CARNIVORA,100985.0116384,2190
176,176,Leopardus guttulus,2250,VU,9070.5,Carnivore,CARNIVORA,1229355.5215267,2190
177,177,Leopardus jacobita,8133.78,EN,2755,Carnivore,CARNIVORA,439323.942104421,1392.97
178,178,Leopardus tigrinus,2250,VU,14323,Carnivore,CARNIVORA,4292880.67304388,2190
179,179,Lepilemur jamesorum,726.98875,CR,1386,Herbivore,PRIMATES,156.5659095169,1637.770967
180,180,Lepilemur septentrionalis,755.77,CR,11,Herbivore,PRIMATES,139.307317835449,1637.770967
181,181,Leporillus conditor,328.82,NT,5196,Herbivore,RODENTIA,626.2636380676,786.86995
182,182,Liberiictis kuhni,1825.47,VU,7800,Carnivore,CARNIVORA,43055.6251171475,1825
183,183,Litocranius walleri,38804.37,NT,95000,Herbivore,CETARTIODACTYLA,1084845.1870426,2555
184,184,Lonchophylla dekeyseri,14.12333333,EN,2500,Omnivore,CHIROPTERA,21136.3977847815,2064.27635
185,185,Lonchorhina fernandezi,14.03,EN,225,Carnivore,CHIROPTERA,105681.988923907,2064.27635
186,186,Loxodonta africana,3824540,EN,441683.5,Herbivore,PROBOSCIDEA,1626719.79988059,9125
187,187,Lycalopex fulvipes,3085,EN,733.5,Omnivore,CARNIVORA,9863.6522995647,2034.717
188,188,Lycaon pictus,21999.99,EN,6600,Carnivore,CARNIVORA,1173931.18955772,2034.717
189,189,Macaca cyclopis,5748.94,LC,10000,Omnivore,PRIMATES,16909.1182278252,4572.989586
190,190,Macaca maura,7290.3,EN,3873,Omnivore,PRIMATES,5479.8068330915,4015
191,191,Macaca pagensis,4534.66,CR,2787,Herbivore,PRIMATES,1409.0931856521,4745
192,192,Macaca siberu,7500,VU,22583,Herbivore,PRIMATES,3757.5818284056,4745
193,193,Macaca sylvanus,11471.53,EN,15000,Herbivore,PRIMATES,7828.295475845,2920
194,194,Macroderma gigas,124.37,VU,11906,Carnivore,CHIROPTERA,935481.309363477,1985.8012
195,195,Macrogalidia musschenbroekii,5148.86,VU,13500,Omnivore,CARNIVORA,23641.4523370519,1825
196,196,Macropus eugenii,5278.48,LC,33541,Herbivore,DIPROTODONTIA,5323.2409235746,1766.8702
197,197,Macropus irma,8000,LC,33541,Herbivore,DIPROTODONTIA,61217.2706211079,1703.78485
198,198,Macrotis lagotis,1229.58,VU,11619,Herbivore,PERAMELEMORPHIA,887415.575141789,1183.8648
199,199,Madoqua guentheri,4623.7,LC,511000,Herbivore,CETARTIODACTYLA,507430.112744273,1931.482667
200,200,Madoqua kirkii,4833.4,LC,971000,Herbivore,CETARTIODACTYLA,208545.791476511,2131.079367
201,201,Madoqua piacentinii,2500,DD,30000,Herbivore,CETARTIODACTYLA,33818.2364556504,2031.281017
202,202,Madoqua saltiana,3424.47,LC,485600,Herbivore,CETARTIODACTYLA,454980.533056111,2031.281017
203,203,Marmota caudata,4350,LC,600000,Herbivore,RODENTIA,254732.734783996,1976.82975
204,204,Marmota menzbieri,3250,VU,22000,Herbivore,RODENTIA,2974.7522808211,2257.9474
205,205,Marmota olympus,6299.99,LC,4243,Herbivore,RODENTIA,5479.8068330915,1976.82975
206,206,Marmota vancouverensis,5232.43,CR,108,Herbivore,RODENTIA,2191.9227332366,2190
207,207,Martes gwatkinsii,2038.49,VU,1500,Omnivore,CARNIVORA,23171.7546085012,1470.1
208,208,Mastacomys fuscus,125.72,NT,67082,Herbivore,RODENTIA,40394.0046553602,639.6318318
209,209,Mazama bororo,18335.81714,VU,12750,Herbivore,CETARTIODACTYLA,16752.5523183083,2145.09375
210,210,Mesembriomys gouldii,716.49,VU,45000,Omnivore,RODENTIA,211207.411938298,712.22605
211,211,Mesocapromys auritus,1533.200179,EN,1335,Omnivore,RODENTIA,83.6147911523437,2954.623511
212,212,Microcebus berthae,33.45,EN,12000,Omnivore,PRIMATES,469.6977285507,2053.5145
213,213,Microtus abbreviatus,66.06,LC,465531,Herbivore,RODENTIA,156.5659095169,373.6238021
214,214,Microtus breweri,54,VU,5477,Herbivore,RODENTIA,1.10928727734375,373.6238021
215,215,Microtus tatricus,40,LC,223607,Herbivore,RODENTIA,12838.4045803858,373.6238021
216,216,Mirza zaza,326.5,EN,54118,Carnivore,PRIMATES,2974.7522808211,1825
217,217,Muntiacus crinifrons,18590.01,VU,7714,Herbivore,CETARTIODACTYLA,32252.5773604814,2190
218,218,Mustela felipei,211.3,VU,2000,Carnivore,CARNIVORA,34601.0660032349,1939.368333
219,219,Myotis grisescens,10.84,NT,2000000,Carnivore,CHIROPTERA,467818.937636497,3469.92725
220,220,Myotis planiceps,9.597169811,EN,360,Carnivore,CHIROPTERA,12212.1409423182,2106.628504
221,221,Myrmecobius fasciatus,511.44,EN,1200,Carnivore,DASYUROMORPHIA,2661.6204617873,886.2761
222,222,Myzopoda aurita,9.1,LC,172867,Carnivore,CHIROPTERA,27242.4682559406,2070.531028
223,223,Myzopoda schliemanni,9.1,LC,136437,Carnivore,CHIROPTERA,8141.4272948788,2070.531028
224,224,Nanger dama,71424.81,CR,212,Herbivore,CETARTIODACTYLA,185060.905048976,2171.91595
225,225,Nanger soemmerringii,41582.93,VU,6708,Herbivore,CETARTIODACTYLA,136682.039008254,2555
226,226,Neofelis diardi,22500,VU,6750,Carnivore,CARNIVORA,462652.262622439,2664.41
227,227,Neotragus batesi,2967.45,LC,219000,Herbivore,CETARTIODACTYLA,303737.864462786,1741.05
228,228,Neotragus pygmaeus,3913.68,LC,62000,Herbivore,CETARTIODACTYLA,193202.332343855,1560.5875
229,229,Nesotragus moschatus,6499,LC,365000,Herbivore,CETARTIODACTYLA,327066.184980804,1778.035983
230,230,Nilgiritragus hylocrius,75000,EN,1897,Herbivore,CETARTIODACTYLA,1722.2250046859,2302.780267
231,231,Nomascus concolor,6410.47,CR,1612,Herbivore,PRIMATES,7984.8613853619,5475
232,232,Nomascus hainanus,7790,CR,20,Herbivore,PRIMATES,156.5659095169,5475
233,233,Nomascus nasutus,7124.094,CR,69,Herbivore,PRIMATES,2818.1863713042,5475
234,234,Notomys aquilo,38.99,EN,15000,Herbivore,RODENTIA,1722.2250046859,688.06545
235,235,Notomys cervinus,34.79,NT,28460,Herbivore,RODENTIA,11429.3113947337,688.06545
