,binomial,common_name
5015,Gazella subgutturosa,Goitered Gazelle
5016,Auliscomys sublimis,"Andean Big-eared Mouse, Lofty Pericote"
5017,Funambulus sublineatus,"Dusky-striped Squirrel, Dusky Palm Squirrel"
5018,Delomys sublineatus,Pallid Atlantic Forest Rat
5019,Pteropus subniger,"Lesser Mascarene Flying-fox, Dark Flying Fox"
5020,Mustela subpalmata,Egyptian Weasel
5021,Carollia subrufa,"Gray Short-tailed Bat, Grey Short-tailed Bat"
5022,Rhinolophus subrufus,Small Rufous Horseshoe Bat
5023,Acomys subspinosus,Cape Spiny Mouse
5024,Chaetomys subspinosus,"Bristle-spined Rat, Bristle-spined Porcupine, Thin-spined Porcupine"
5025,Funisciurus substriatus,"Kintampo Rope Squirrel, Winston's Tree Squirrel"
5026,Microtus subterraneus,"European Pine Vole, Common Pine Vole"
5027,Sicista subtilis,Southern Birch Mouse
5028,Antechinus subtropicus,"Subtropical Antechinus, Subtropical Marsupial Mouse"
5029,Murina suilla,"Brown Tube-nosed Bat, Lesser Tube-nosed Bat"
5030,Bathyergus suillus,"Cape Dune Mole Rat, Cape Dune Blesmol"
5031,Hylomys suillus,"Short-tailed Gymnure, Lesser Gymnure"
5032,Carterodon sulcidens,Owl's Spiny Rat
5033,Phyllomys sulinus,Southern Atlantic Tree Rat
5034,Hystrix sumatrae,Sumatran Porcupine
5035,Capricornis sumatraensis,"Sumatran Serow, Serow"
5036,Lutra sumatrana,Hairy-nosed Otter
5037,Chimarrogale sumatrana,"Sumatran Water Shrew, Sumatra Water Shrew"
5038,Dicerorhinus sumatrensis,Sumatran Rhinoceros
5039,Rhizomys sumatrensis,"Indomalayan Bamboo Rat, Large Bamboo Rat"
5040,Hipposideros sumbae,"Sumban Leaf-nosed Bat, Sumba Roundleaf Bat"
5041,Bassariscus sumichrasti,"Cacomistle, Central American Cacomistle"
5042,Reithrodontomys sumichrasti,Sumichrast's Harvest Mouse
5043,Nyctomys sumichrasti,Vesper Rat
5044,Crunomys suncoides,"Katanglad Shrew Mouse, Kitanglad Shrew-mouse"
5045,Ruwenzorisorex suncoides,Ruwenzori Shrew
5046,Phodopus sungorus,Dzhungarian Hamster
5047,Stylodipus sungorus,Mongolian Three-toed Jerboa
5048,Oecomys superans,Foothill Arboreal Rice Rat
5049,Glauconycteris superba,Pied Bat
5050,Pedetes surdaster,East African Spring-hare
5051,Graphiurus surdus,Silent Dormouse
5052,Akodon surdus,"Silent Grass Mouse, Slate-bellied Akodont"
5053,Suricata suricatta,"Meerkat, Slender-tailed Meerkat, Suricate"
5054,Maxomys surifer,"Indomalayan Maxomys, Red Spiny Rat"
5055,Crocidura susiana,Iranian Shrew
5056,Spermophilus suslicus,"Speckled Ground Squirrel, Spotted Souslik"
5057,Antechinus swainsonii,"Dusky Antechinus, Dusky Marsupial Mouse, Swainson's Marsupial-mouse"
5058,Nesoryzomys swarthi,Santiago Galapagos Mouse
5059,Thryonomys swinderianus,Greater Cane Rat
5060,Capricornis swinhoei,"Formosan Serow, Taiwan Serow"
5061,Tamiops swinhoei,Swinhoe's Striped Squirrel
5062,Rhinolophus swinnyi,Swinny's Horseshoe Bat
5063,Macaca sylvanus,"Barbary Macaque, Barbary Ape"
5064,Akodon sylvanus,"Forest Grass Mouse, Woodland Akodont"
5065,Apodemus sylvaticus,"Long-tailed Field Mouse, Small Wood Mouse, Wood Mouse"
5066,Glyphonycteris sylvestris,"Tricolored Bat, Tri-colored Big-eared Bat"
5067,Pogonomys sylvestris,Gray-bellied Tree Mouse
5068,Symphalangus syndactylus,Siamang
5069,Tarsius syrichta,"Philippine Tarsier, Phillipine Tarsier"
5070,Ochotona syrinx,Qinling Pika
5071,Cuniculus taczanowskii,Mountain Paca
5072,Thomasomys taczanowskii,Taczanowski's Oldfield Mouse
5073,Eptesicus taddeii,NA
5074,Taeromys taerae,"Northeastern Mountain Taeromys, Tondano Rat"
5075,Microgale taiva,Taiva Shrew Tenrec
5076,Plecotus taivanus,"Taiwan Long-eared Bat, Formosan Long-eared Bat, Taiwan Big-eared Bat"
5077,Pecari tajacu,Collared Peccary
5078,Maxomys tajuddinii,NA
5079,Pteralopex taki,"New Georgia Monkey-faced Bat, New Georgian Monkey-faced Bat"
5080,Transandinomys talamancae,Talamancan Rice Rat
5081,Miopithecus talapoin,"Southern Talapoin Monkey, Talapoin"
5082,Ctenomys talarum,Talas Tuco-tuco
5083,Melomys talaudium,Long-tailed Talaud Melomys
5084,Microgale talazaci,Talzac's Shrew Tenrec
5085,Ellobius talpinus,Northern Mole Vole
5086,Thomomys talpoides,"Northern Pocket Gopher, Vancouver Pocket Gopher"
5087,Urotrichus talpoides,Japanese Shrew Mole
5088,Meriones tamariscinus,"Tamarisk Gerbil, Tamarisk Jird, TAMARISK JIRD"
5089,Cryptotis tamensis,Tam Small-eared Shrew
5090,Tupaia tana,"Large Treeshrew, Large Tree Shrew"
5091,Crocidura tanakae,Taiwanese Gray Shrew
5092,Eliurus tanala,"Tanala Tuft-tailed Rat, Tanala Tufted-tailed Rat"
5093,Ellobius tancrei,Zaisan Mole Vole
5094,Scotophilus tandrefana,Western Yellow Bat
5095,Rattus tanezumi,"Oriental House Rat, Tanezumi Rat"
5096,Viverra tangalunga,"Malay Civet, Malayan Civet, Oriental Civet"
5097,Crocidura tansaniana,Tanzanian Shrew
5098,Chlorocebus tantalus,Tantalus Monkey
5099,Pongo tapanuliensis,Tapanuli Orangutan
5100,Phascogale tapoatafa,Brush-tailed Phascogale
5101,Rhynchomys tapulao,NA
5102,Gerbillus tarabuli,Tarabul's Gerbil
5103,Rangifer tarandus,"Reindeer, Caribou, Peary Caribou"
5104,Loris tardigradus,"Red Slender Loris, Slender Loris"
5105,Crocidura tarella,"Ugandan Shrew, Tarella Shrew"
5106,Crocidura tarfayensis,"Tarfaya Shrew, Saharan Shrew"
5107,Irenomys tarsalis,"Chilean Climbing Mouse, Large-footed Irenomys"
5108,Tarsius tarsier,"Spectral Tarsier, Eastern Tarsier, Sulawesi Tarsier"
5109,Falsistrellus tasmaniensis,Eastern False Pipistrelle
5110,Rhinolophus tatar,NA
