,binomial,common_name
2609,Kerivoula krauensis,Krau Woolly Bat
2610,Steatomys krebsii,Kreb's Fat Mouse
2611,Lasiorhinus krefftii,"Northern Hairy-nosed Wombat, Queensland Hairy-nosed Wombat"
2612,Austronomus kuboriensis,New Guinea Free-tailed Bat
2613,Axis kuhlii,"Bawean Deer, Bawean Hog Deer, Kuhl's Hog Deer"
2614,Pipistrellus kuhlii,Kuhl's Pipistrelle
2615,Callithrix kuhlii,"Wied's Marmoset, Wied's Black-tufted-ear Marmoset"
2616,Scotophilus kuhlii,"Lesser Asiatic Yellow House Bat, Asiatic Lesser Yellow House Bat, Lesser Asian House Bat, Lesser Asiatic Yellow Bat"
2617,Liberiictis kuhni,Liberian Mongoose
2618,Proechimys kulinae,NA
2619,Monodelphis kunsi,Pygmy Short-tailed Opossum
2620,Grammomys kuru,"Eastern Rainforest Grammomys, Shining Thicket Rat"
2621,Megaerops kusnotoi,Javan Tailless Fruit Bat
2622,Saguinus labiatus,"Red-chested Mustached Tamarin, Red-bellied Tamarin"
2623,Epomophorus labiatus,Ethiopian Epauletted Fruit Bat
2624,Diplomys labilis,Rufous Tree Rat
2625,Bibimys labiosus,"Large-lipped Crimson-nosed Rat, Lagoa Santa Akodont"
2626,Cryptotis lacertosus,NA
2627,Dendromus lachaisei,Lachaise's Climbing Mouse
2628,Necromys lactens,Rufous-bellied Bolo Mouse
2629,Otomys lacustris,Tanzanian Vlei Rat
2630,Taterillus lacustris,"Lake Chad Gerbil, Lake Chad Tateril"
2631,Ochotona ladacensis,Ladak Pika
2632,Thomasomys ladewi,Ladew's Oldfield Mouse
2633,Histiotus laephotis,Thomas's Big-eared Brown Bat
2634,Vulpes lagopus,"Arctic Fox, Polar Fox"
2635,Macrotis lagotis,"Bilby, Dalgyte, Greater Bilby, Greater Rabbit-eared Bandicoot"
2636,Lagothrix lagotricha,"Common Woolly Monkey, Humboldt's Woolly Monkey, Woolly Monkey"
2637,Lagurus lagurus,"Steppe Lemming, STEPPE LEMMING, Steppe Vole, STEPPE VOLE"
2638,Leggadina lakedownensis,"Northern Short-tailed Mouse, Lakeland Downs Mouse"
2639,Cricetulus lama,Lama Dwarf Hamster
2640,Phyllomys lamarum,Pallid Atlantic Tree Rat
2641,Nesomys lambertoni,Lowland Red Forest Rat
2642,Ctenomys lami,NA
2643,Euryoryzomys lamia,Monster Rice Rat
2644,Chiruromys lamia,"Broad-headed Tree Mouse, Broad-headed Chiruromys, Broad-skulled Tree Mouse"
2645,Otomys laminatus,Laminate Vlei Rat
2646,Micropotamogale lamottei,"Nimba Otter Shrew, Pygmy Otter-shrew"
2647,Crocidura lamottei,Lamotte's Shrew
2648,Hipposideros lamottei,Lamotte's Roundleaf Bat
2649,Chodsigoa lamula,Lamulate Shrew
2650,Caluromys lanatus,"Brown-eared Woolly Opossum, Western Woolly Opossum, Woolly Opossum"
2651,Thylogale lanatus,Mountain Pademelon
2652,Rhinolophus landeri,Lander's Horseshoe Bat
2653,Niviventer langbianis,"Lang Bian White-bellied Rat, Dark-tailed Rat"
2654,Antechinomys laniger,Kultarr
2655,Avahi laniger,"Eastern Woolly Lemur, Eastern Avahi, Gmelin's Woolly Lemur, Woolly Indris"
2656,Myotis laniger,Chinese Water Myotis
2657,Dryomys laniger,Woolly Dormouse
2658,Thomasomys laniger,Butcher Oldfield Mouse
2659,Chinchilla lanigera,"Long-tailed Chinchilla, Chinchilla"
2660,Heterogeomys lanius,Big Pocket Gopher
2661,Hipposideros lankadiva,"Indian Leaf-nosed Bat, Indian Roundleaf Bat"
2662,Kerivoula lanosa,Lesser Woolly Bat
2663,Crocidura lanosa,"Lemara Shrew, Kivu Long-haired Shrew"
2664,Rousettus lanosus,Long-haired Rousette
2665,Abrothrix lanosus,"Woolly Grass Mouse, Woolly Akodont"
2666,Mammelomys lanosus,"Highland Mammelomys, Large-scaled Melomys, Large-scaled Mosaic-tailed Rat"
2667,Biswamoyopterus laoensis,Laotian Giant Flying Squirrel
2668,Trachypithecus laotum,"Laotian Langur, Lao Langur, Lao leaf monkey"
2669,Hylobates lar,"Lar Gibbon, Common Gibbon, White-handed Gibbon"
2670,Phoca largha,"Spotted Seal, Larga Seal"
2671,Tarsius lariang,Lariang Tarsier
2672,Paguma larvata,"Masked Palm Civet, Gem-faced Civet, Himalayan Palm Civet"
2673,Nasalis larvatus,"Proboscis Monkey, Long-nosed Monkey"
2674,Hipposideros larvatus,"Horsfield's Leaf-nosed Bat, Intermediate Leaf-nosed Bat, Intermediate Roundleaf Bat, Intermediat Roundleaf Bat"
2675,Potamochoerus larvatus,Bushpig
2676,Pseudochirulus larvatus,Masked Ringtail
2677,Nyctalus lasiopterus,"Giant Noctule, Greater Noctule Bat"
2678,Thalpomys lasiotis,Hairy-eared Cerrado Mouse
2679,Crocidura lasiura,Ussuri Shrew
2680,Platacanthomys lasiurus,"Malabar Spiny Tree Mouse, Malabar Spiny Dormouse, Spiny Tree Mouse"
2681,Necromys lasiurus,Hairy-tailed Bolo Mouse
2682,Gerbillus latastei,Lataste's Gerbil
2683,Neomicroxus latebricola,"Ecuadorean Grass Mouse, Ecuadorean Akodont"
2684,Petrogale lateralis,"Black-footed Rock Wallaby, Black-flanked Wallaby, Warru"
2685,Callospermophilus lateralis,"Golden Mantled Ground Squirrel, Green River Basin Golden-mantled Ground Squirrel"
2686,Nyctinomops laticaudatus,"Broad-eared Bat, Broad-eared Free-tailed Bat"
2687,Rhinosciurus laticaudatus,Shrew-faced Squirrel
2688,Clyomys laticeps,Broad-headed Spiny Rat
2689,Hylaeamys laticeps,Large-headed Rice Rat
2690,Abditomys latidens,Luzon Broad-toothed Rat
2691,Anoura latidens,Broad-toothed Tailless Bat
2692,Phyllostomus latifolius,Guianan Spear-nosed Bat
2693,Lasiorhinus latifrons,Southern Hairy-nosed Wombat
2694,Scapanus latimanus,Broad-footed Mole
2695,Rhipidomys latimanus,Broad-footed Climbing Mouse
2696,Submyotodon latirostris,Taiwan broad-muzzled myotis
2697,Crocidura latona,"Latona Shrew, Latona's Shrew"
2698,Tadarida latouchei,La Touche's Free-tailed Bat
2699,Canis latrans,"Coyote, American Jackal, Brush Wolf, Prairie Wolf"
2700,Ctenomys latro,Mottled Tuco-tuco
2701,Apodemus latronum,"Large-eared Field Mouse, Sichuan Field Mouse"
2702,Calomys laucha,"Small Vesper Mouse, Little Laucha"
2703,Thrichomys laurentius,NA
2704,Myotis lavali,NA
2705,Thyroptera lavali,Laval's Disk-winged Bat
2706,Funambulus layardi,Layard's Palm Squirrel
2707,Mesoplodon layardii,"Strap-toothed Whale, Layard's Beaked Whale"
2708,Crocidura lea,Sulawesi Shrew
2709,Glossophaga leachii,"Gray Long-tongued Bat, Gray's Long-tongued Bat"
2710,Gymnobelideus leadbeateri,Leadbeater's Possum
2711,Anotomys leander,"Ecuadoran Ichthyomyine, Aquatic Rat, Ecuador Fish-eating Rat, Fish-eating Rat"
2712,Kobus leche,Southern Lechwe
2713,Diplothrix legata,"Ryukyus Islands Tree Rat, Ryukyu Long-tailed Giant Rat, Ryukyu Rat"
2714,Euryoryzomys legatus,Big-headed Rice Rat
2715,Microcebus lehilahytsara,Goodman's Mouse Lemur
2716,Myotis leibii,Eastern Small-footed Myotis
2717,Poiana leightoni,"West African Oyan, Leighton's Linsang, West African Linsang"
2718,Nyctalus leisleri,"Lesser Noctule, Leisler's Bat"
2719,Hipposideros lekaguli,"Large Asian Leaf-nosed Bat, Large Asian Roundleaf Bat"
2720,Hippopotamus lemerlei,"Madagascan Dwarf Hippopotamus, Malagasy Hippo"
2721,Punomys lemminus,Puna Mouse
2722,Alticola lemminus,"Lemming Vole, Lemming Mountain Vole"
2723,Lemmus lemmus,Norway Lemming
2724,Funisciurus lemniscatus,Ribboned Rope Squirrel
2725,Aotus lemurinus,"Colombian Night Monkey, Gray-bellied Night Monkey, Lemurine Night Monkey"
2726,Hemibelideus lemuroides,Lemuroid Ringtail Possum
2727,Necromys lenguarum,NA
2728,Mesomys leniceps,Woolly-headed Spiny Tree Rat
2729,Kerivoula lenis,Lenis Woolly Bat
2730,Panthera leo,"Lion, African Lion"
2731,Antechinus leo,"Cinnamon Antechinus, Cinnamon Marsupial Mouse, Iron Range Antechinus"
2732,Soricomys leonardocoi,Co's Shrew-Mouse
2733,Mirounga leonina,"Southern Elephant Seal, South Atlantic Elephant-seal, Southern Elephant-seal"
2734,Macaca leonina,"Northern Pig-tailed Macaque, Northern Pigtail Macaque"
2735,Marmosa lepida,Little Rufous Mouse Opossum
2736,Neotoma lepida,Desert Woodrat
2737,Crocidura lepidura,Sumatran Giant Shrew
2738,Nyctiellus lepidus,Gervais's Funnel-eared Bat
2739,Rhinolophus lepidus,Blyth's Horseshoe Bat
2740,Calomys lepidus,"Andean Vesper Mouse, Graceful Laucha"
2741,Cercartetus lepidus,"Little Pygmy Possum, Little Pygmy-possum, Tasmanian Pygmy-possum, Tasmanian Pygmy Possum"
2742,Lagorchestes leporides,"Eastern Hare-wallaby, Eastern Hare Wallaby"
2743,Dasyprocta leporina,"Red-rumped Agouti, Brazilian Agouti"
2744,Noctilio leporinus,Greater Bulldog Bat
2745,Gazella leptoceros,Slender-horned Gazelle
2746,Spermophilopsis leptodactylus,Long-clawed Ground Squirrel
2747,Myonycteris leptodon,Sierra Leone Collared Fruit Bat
2748,Hydrurga leptonyx,Leopard Seal
2749,Saccopteryx leptura,Lesser Sac-winged Bat
2750,Habromys lepturus,"Slender-tailed Deer Mouse, Slender Tailed Deer Mouse"
2751,Niviventer lepturus,"Montane Javan Niviventer, Narrow-tailed White-bellied Rat"
2752,Ammotragus lervia,"Aoudad, Barbary Sheep, Uaddan"
2753,Rousettus leschenaultii,"Leschenault's Rousette, Leschenault's Rousette, Shortridge's Rousette"
2754,Bettongia lesueur,"Burrowing Bettong, Boodie, Burrowing Rat-kangaroo, Lesueur's Bettong, Lesueur's Rat Kangaroo"
2755,Cistugo lesueuri,"Lesueur's Hairy Bat, Lesueur's Myotis, Lesueur's Wing-gland Bat, Wing-gland bat"
2756,Delphinapterus leucas,"Beluga Whale, Beluga, White Whale"
2757,Mico leucippe,Golden-white Bare-ear Marmoset
2758,Galea leucoblephara,Lowland Yellow-toothed Cavy
2759,Rhipidomys leucodactylus,"Great Rhipidomys, White-footed Climbing Mouse"
2760,Nannospalax leucodon,"Lesser Mole Rat, Lesser Blind Mole Rat"
2761,Crocidura leucodon,"Bicolored Shrew, Bicoloured White-toothed Shrew"
2762,Neotoma leucodon,White-toothed Woodrat
2763,Ctenomys leucodon,White-toothed Tuco-tuco
2764,Cephalophus leucogaster,White-bellied Duiker
2765,Moschus leucogaster,"Himalayan Muskdeer, Himalayan Musk-deer, Himalayan Musk Deer"
2766,Onychomys leucogaster,Northern Grasshopper Mouse
2767,Murina leucogaster,"Rufous Tube-nosed Bat, Greater Tube-nosed Bat"
2768,Scotophilus leucogaster,White-bellied Yellow Bat
2769,Gerbilliscus leucogaster,Bushveld Gerbil
2770,Melomys leucogaster,"White-bellied Melomys, White-bellied Mosaic-tailed Rat"
2771,Sorex leucogaster,Paramushir Shrew
2772,Nomascus leucogenys,"Northern White-cheeked Gibbon, White-cheeked Gibbon"
2773,Petaurista leucogenys,Japanese Giant Flying Squirrel
2774,Funisciurus leucogenys,"Orange Headed Tree Squirrel, Red-cheeked Rope Squirrel"
2775,Barbastella leucomelas,"Eastern Barbastelle, Asian Barbastelle"
2776,Prosciurillus leucomus,Whitish Dwarf Squirrel
2777,Hoolock leuconedys,"Eastern Hoolock Gibbon, Eastern Hoolock"
2778,Conepatus leuconotus,"American Hog-nosed Skunk, Eastern Hog-nosed Skunk, White-backed Hog-nosed Skunk"
2779,Otonycteris leucophaea,Turkestani Loong-eared Bat
2780,Mandrillus leucophaeus,Drill
2781,Hippotragus leucophaeus,"Bluebuck, Blue Antelope"
2782,Episoriculus leucops,Long-tailed Brown-toothed Shrew
2783,Peropteryx leucoptera,White-winged Dog-like Bat
2784,Pteropus leucopterus,"Mottle-winged Flying Fox, White-winged Flying Fox"
2785,Sminthopsis leucopus,White-footed Dunnart
2786,Peromyscus leucopus,White-footed Mouse
2787,Saguinus leucopus,"Silvery-brown Tamarin, Silvery-brown Bare-face Tamarin, White-footed Tamarin"
2788,Lepilemur leucopus,"White-footed Sportive Lemur, Dry-bush Weasel Lemur"
2789,Rattus leucopus,Cape York Rat
2790,Huetia leucorhina,Congo Golden Mole
2791,Oryx leucoryx,"Arabian Oryx, White Oryx"
2792,Mops leucostigma,"Malagasy White-bellied Free-tailed Bat, Madagascar White-bellied Free-tailed Bat,, White-shouldered Bat"
2793,Acerodon leucotis,"Palawan Fruit Bat, Palawan Flying Fox"
2794,Sigmodon leucotis,White-eared Cotton Rat
2795,Macrotis leucura,"Yallara, Lesser Bilby"
2796,Echiothrix leucura,"Northern Sulawesi Echiothrix, Sulawesi Spiny Rat"
2797,Parascaptor leucura,"White-tailed Mole, Assamese Mole, Indian Mole"
2798,Myoictis leucura,Woolley's Three-striped Dasyure
2799,Ammospermophilus leucurus,White-tailed Antelope Squirrel
2800,Cynomys leucurus,White-tailed Prairie Dog
2801,Phaiomys leucurus,Blyth's Vole
2802,Meles leucurus,Asian Badger
2803,Talpa levantis,"Levantine Mole, Levant Mole"
2804,Crocidura levicula,"Sulawesi Tiny Shrew, Celebes Shrew"
2805,Peromyscus levipes,"Nimble-footed Deer Mouse, Nimble-footed Mouse"
2806,Paramelomys levipes,"Papuan Lowland Paramelomys, Long-nosed Mosaic-tailed Rat"
2807,Nephelomys levipes,Light-footed Rice Rat
2808,Microtus levis,"East European Vole, Sibling Vole"
2809,Myotis levis,Yellowish Myotis
2810,Ctenomys lewisi,"Lewis's Tuco-tuco, Lewis' Tuco-tuco"
2811,Allochrocebus lhoesti,"L'Hoest's Monkey, L'Hoest's Guenon, Mountain Monkey"
2812,Proedromys liangshanensis,Liangshan Vole
2813,Choeropsis liberiensis,Pygmy Hippopotamus
2814,Sapajus libidinosus,"Bearded Capuchin, Black-striped Capuchin"
2815,Ictonyx libycus,"Libyan Striped Weasel, Saharan Striped Polecat, Saharan Striped Weasel"
2816,Meriones libycus,Libyan Jird
2817,Eremodipus lichtensteini,Lichtenstein's Jerboa
2818,Microtus liechtensteini,Liechtenstein's Pine Vole
2819,Sturnira lilium,Little Yellow-shouldered Bat
2820,Phyllotis limatus,NA
2821,Microtus limnophilus,Lacustrine Vole
2822,Akodon lindberghi,"Lindbergh's Grass Mouse, Lindbergh's Akodont"
2823,Rousettus linduensis,Linduan Rousette
2824,Chaetodipus lineatus,"Lined Pocket Gopher, Lined Pocket Mouse"
2825,Platyrrhinus lineatus,"White-lined Bat, White-lined Broad-nosed Bat"
2826,Prionodon linsang,Banded Linsang
2827,Lemniscomys linulus,"Senegal Lemniscomys, Senegal One-striped Grass Mouse"
2828,Neodon linzhiensis,Linzhi Mountain Vole
2829,Sciurus lis,Japanese Squirrel
2830,Parotomys littledalei,Littledale's Whistling Rat
2831,Urocyon littoralis,"Island Fox, California Channel Island Fox, Channel Islands Fox, Island Gray Fox, Island Grey Fox"
2832,Apomys littoralis,"Mindanao Lowland Apomys, Mindanao Lowland Forest Mouse"
2833,Crocidura littoralis,"Butiaba Naked-tailed Shrew, Naked-tail Shrew"
2834,Artibeus lituratus,Great Fruit-eating Bat
2835,Pteropus livingstonii,"Livingstone's Flying Fox, Comoro Black Flying Fox, Livingstone's Fruit Bat"
2836,Scotophilus livingstonii,Livingstone's House Bat
2837,Suncus lixus,Greater Dwarf Shrew
2838,Tadarida lobata,Kenyan Big-eared Free-tailed Bat
2839,Dremomys lokriah,Orange-bellied Himalayan Squirrel
2840,Pteropus lombocensis,Lombok Flying Fox
2841,Microperoryctes longicauda,Striped Bandicoot
2842,Sminthopsis longicaudata,Long-tailed Dunnart
2843,Microgale longicaudata,Lesser Long-tailed Shrew Tenrec
2844,Murexia longicaudata,Short-furred Dasyure
2845,Notomys longicaudatus,Long-tailed Hopping-mouse
2846,Myosorex longicaudatus,Long-tailed Forest Shrew
2847,Hapalomys longicaudatus,"Greater Marmoset Rat, Marmoset Rat"
2848,Proechimys longicaudatus,Long-tailed Spiny Rat
2849,Cricetulus longicaudatus,Long-tailed Dwarf Hamster
2850,Oligoryzomys longicaudatus,Long-tailed Pygmy Rice Rat
2851,Stochomys longicaudatus,Target Rat
2852,Lontra longicaudis,"Neotropical Otter, La Plata Otter, Long-tailed Otter, Neotropical River Otter, South American River Otter"
2853,Arborimus longicaudus,Red Tree Vole
2854,Microtus longicaudus,"Long-tailed Vole, San Bernardino Long-tailed Vole"
2855,Rhagomys longilingua,NA
2856,Taphozous longimanus,Long-winged Tomb Bat
2857,Perognathus longimembris,"Little Pocket Mouse, Los Angeles Little Pocket Mouse, Los Angeles Pocket Mouse"
2858,Potorous longipes,Long-footed Potoroo
2859,Crocidura longipes,Savanna Swamp Shrew
2860,Tupaia longipes,"Northern Long-footed Treeshrew, Long-footed Tree Shrew, Northern Bornean Tree Shrew"
2861,Myotis longipes,Kashmir Cave Bat
2862,Malacomys longipes,Big-eared Swamp Rat
2863,Abrothrix longipilis,"Long-haired Akodont, Long-haired Grass Mouse"
2864,Stenella longirostris,"Spinner Dolphin, Long-beaked Dolphin, Long-snouted Dolphin"
2865,Sorex longirostris,Southeastern Shrew
2866,Glossophaga longirostris,Miller's Long-tongued Bat
2867,Euroscaptor longirostris,Long-nosed Mole
2868,Pteropus loochoensis,Okinawa Flying-fox
2869,Hypsugo lophurus,"Burmese Pipistrelle, Burma Pipistrelle"
2870,Habromys lophurus,"Crested-tailed Deer Mouse, Crested Tailed Deer Mouse"
2871,Neophascogale lorentzii,Speckled Dasyure
2872,Paramelomys lorentzii,"Lorentz's Paramelomys, Lorentz's Mosaic-tailed Rat"
2873,Mormopterus loriae,"Loria's Free-tailed Bat, Loria's Mastiff Bat"
2874,Pogonomys loriae,"Loria's Pogonomys, Large Tree Mouse"
2875,Sicista loriger,Nordmann's Birch Mouse
2876,Thallomys loringi,Loring's Rat
2877,Graphiurus lorraineus,Lorrain Dormouse
2878,Tympanoctomys loschalchalerosorum,Chalchalero Viscacha Rat
2879,Rattus losea,"Losea Rat, Lesser Rice-field Rat"
2880,Procyon lotor,Northern Raccoon
2881,Acomys louisae,Louise's Spiny Mouse
2882,Dendromus lovati,"Lovat's African Climbing Mouse, Lovat's Climbing Mouse"
2883,Gerbillus lowei,Lowe's Gerbil
2884,Cercopithecus lowei,Lowe's Monkey
2885,Sundasciurus lowii,Low's Squirrel
2886,Ptilocercus lowii,"Pen-tailed Treeshrew, Pen-tailed Tree Shrew"
2887,Penthetor lucasi,"Lucas's Short-nosed Fruit Bat, Lucas' Short-nosed Fruit Bat"
2888,Megalomys luciae,"Santa Lucian Pilorie, Santa Lucia Giant Rice Rat"
2889,Callicebus lucifer,"Yellow-handed Titi Monkey, Lucifer Titi, Widow Monkey"
2890,Paraxerus lucifer,Black And Red Bush Squirrel
2891,Myotis lucifugus,"Little Brown Bat, Little Brown Myotis"
2892,Crocidura lucina,"Lucina's Shrew, Moorland Shrew, Morrland Shrew"
2893,Dorcopsis luctuosa,"Grey Dorcopsis, Gray Dorcopsis"
2894,Rhinolophus luctus,"Great Woolly Horsehoe Bat, Woolly Horseshoe Bat"
2895,Crocidura ludia,"Dramatic Shrew, Ludia's Shrew"
2896,Sturnira ludovici,Highland Yellow-shouldered Bat
2897,Cynomys ludovicianus,"Arizona Black-tailed Prairie Dog, Black-tailed Prairie Dog"
2898,Rattus lugens,"Mentawai Archipelago Rat, Mentawai Rat"
2899,Petinomys lugens,Siberut Flying Squirrel
2900,Lagothrix lugens,Colombian Woolly Monkey
2901,Aepeomys lugens,"Olive Montane Mouse, Mrida Aepeomys"
2902,Callicebus lugens,"Collared Titi, Black Titi, Collared Titi Monkey, Widow Monkey"
2903,Sturnira luisi,Louis's Yellow-shouldered Bat
2904,Anoura luismanueli,Luis Manuel's Tailless Bat
2905,Praomys lukolelae,Lukolela Swamp Rat
2906,Phalanger lullulae,Woodlark Cuscus
2907,Dendrolagus lumholtzi,"Lumholtz's Tree Kangaroo, Boongary, Lumholtz' Tree-kangaroo"
2908,Mormopterus lumsdenae,"Northern Free-tailed Bat, Northern Free-tailed Bat"
2909,Crocidura luna,Greater Gray-brown Musk Shrew
2910,Hybomys lunaris,"Moon Striped Mouse, Ruwenzori Hybomys"
2911,Sylvisorex lunaris,"Moon Forest Shrew, Crescent Shrew"
2912,Onychogalea lunata,Crescent Nailtail Wallaby
2913,Damaliscus lunatus,"Topi, Tiang, Tsessebe"
2914,Octodon lunatus,Moon-toothed Degu
2915,Phyllomys lundi,NA
2916,Cercocebus lunulatus,"White-naped Mangabey, White-collared Mangabey"
2917,Canis lupus,"Gray Wolf, Arctic Wolf, Common Wolf, Grey Wolf, Mexican Wolf, Plains Wolf, Timber Wolf, Tundra Wolf, Wolf"
2918,Crocidura lusitania,Mauritanian Shrew
2919,Microtus lusitanicus,Lusitanian Pine Vole
2920,Lophuromys luteogaster,Yellow-bellied Brush-furred Rat
2921,Akodon lutescens,"Altiplano Grass Mouse, Altiplano Akodont"
2922,Ellobius lutescens,"Transcaucasian Mole Vole, Mountain Mole Vole"
2923,Eolagurus luteus,Yellow Steppe Lemming
2924,Melomys lutillus,Grassland Melomys
2925,Lutra lutra,"Eurasian Otter, Common Otter, European Otter, European River Otter, Old World Otter"
2926,Mustela lutreola,European Mink
2927,Mustela lutreolina,Indonesian Mountain Weasel
2928,Rattus lutreolus,Australian Swamp Rat
2929,Enhydra lutris,Sea Otter
2930,Archboldomys luzonensis,"Isarog Shrew Mouse, Mount Isarog Shrew Mouse, Mt Isarog Shrew-mouse, Mt Isarog Shrew Mouse"
2931,Bullimus luzonicus,"Luzon Bullimus, Large Luzon Forest Rat, Luzon Forest Rat"
2932,Cynopterus luzoniensis,Peters's Fruit Bat
2933,Loris lydekkerianus,"Gray Slender Loris, Grey Slender Loris, Highland Slender Loris"
2934,Sorex lyelli,Mount Lyell Shrew
2935,Hipposideros lylei,"Shield-faced Leaf-nosed Bat, Shield-faced Roundleaf Bat"
2936,Pteropus lylei,Lyle's Flying Fox
2937,Lynx lynx,Eurasian Lynx
2938,Megaderma lyra,"Greater False Vampire, Greater False Vampire Bat, Indian False Vampire Bat"
2939,Eulemur macaco,Black Lemur
2940,Crocidura macarthuri,Macarthur's Shrew
2941,Microcebus macarthurii,"MacArthur's Mouse Lemur, Anjiahely Mouse Lemur"
2942,Tamiops macclellandii,Himalayan Striped Squirrel
2943,Alouatta macconnelli,"Guianan Red Howler Monkey, Guyanan Red Howler, Trinidad Howling Monkey"
2944,Mesophylla macconnelli,Macconnell's Bat
2945,Euryoryzomys macconnelli,Macconnell's Rice Rat
2946,Rhipidomys macconnelli,Macconnell's Climbing Mouse
2947,Lemniscomys macculus,"Buffoon Lemniscomys, Buffoon Striped Grass Mouse"
2948,Notopteris macdonaldi,"Fijian Blossom Bat, Long-tailed Blossom Bat, Long-tailed Fruit Bat"
2949,Pseudantechinus macdonnellensis,"Fat-tailed Pseudantechinus, Fat-tailed Antechinus"
2950,Mus macedonicus,"Macedonian Mouse, Balkan Short-tailed Mouse"
2951,Glauconycteris machadoi,Machado's Butterfly Bat
2952,Rhinopoma macinnesi,Macinnes's Mouse-tailed Bat
2953,Falsistrellus mackenziei,"Western False Pipistrelle, Mackenzie's False Pipistrelle"
2954,Berylmys mackenziei,"Kenneth's White-toothed Rat, Mackenzie's Berylmys, Mackenzie's Rat"
2955,Gerbillus mackilligini,Mackillingin's Gerbil
2956,Acerodon mackloti,"Sunda Fruit Bat, Sunda Flying-fox, Sunda Flying Fox"
2957,Rhinolophus maclaudi,Maclaud's Horseshoe Bat
2958,Rattus macleari,Maclear's Rat
2959,Dorcopsulus macleayi,"Macleay's Dorcopsis, Macleay's Dorcopsulus, Papuan Dorcopsis, Papuan Forest Wallaby"
2960,Pteronotus macleayii,Macleay's Mustached Bat
2961,Grammomys macmillani,Macmillan's Thicket Rat
2962,Crocidura macmillani,Macmillan's Shrew
2963,Crocidura macowi,"Macow's Shrew, Nyiro Shrew"
2964,Plecotus macrobullaris,Mountain Long-eared Bat
2965,Hipposideros macrobullatus,"Big-eared Leaf-nosed Bat, Big-eared Roundleaf Bat"
2966,Physeter macrocephalus,"Sperm Whale, Cachelot, Pot Whale, Spermacet Whale"
2967,Sapajus macrocephalus,Large-headed Capuchin
2968,Tachyoryctes macrocephalus,Giant Mole Rat
2969,Tateomys macrocercus,"Long-tailed Sulawesian Shrew Rat, Long-tailed Shrew Rat"
2970,Miniopterus macrocneme,Small Melanesian Bent-winged Bat
2971,Myotis macrodactylus,Big-footed Myotis
2972,Sorex macrodon,Large-toothed Shrew
2973,Neovison macrodon,Sea Mink
2974,Chelemys macronyx,"Andean Long-clawed Mouse, Andean Long-clawed Akodont"
2975,Macrophyllum macrophyllum,Long-legged Bat
2976,Myotis macropus,Large-footed Myotis
2977,Sommeromys macrorhinos,Sommer's Sulawesi Rat
2978,Globicephala macrorhynchus,"Short-finned Pilot Whale, Pacific Pilot Whale"
2979,Myotis macrotarsus,"Pallid Large-footed Myotis, Philippine Large-footed Myotis"
2980,Vulpes macrotis,"Kit Fox, Desert Fox"
2981,Rhinolophus macrotis,Big-eared Horseshoe Bat
2982,Ochotona macrotis,Large-eared Pika
2983,Peropteryx macrotis,Lesser Dog-like Bat
2984,Neotoma macrotis,"Big-eared Woodrat, Large-eared Woodrat"
2985,Nyctinomops macrotis,Big Free-tailed Bat
2986,Rheithrosciurus macrotis,Tufted Ground Squirrel
2987,Nycteris macrotis,Large-eared Slit-faced Bat
2988,Idiurus macrotis,"Long-eared Scaly-tailed Flying Squirrel, Long-eared Flying Squirrel"
2989,Hypsugo macrotis,Big-eared Pipistrelle
2990,Notomys macrotis,Big-eared Hopping-mouse
2991,Thomasomys macrotis,NA
2992,Pteropus macrotis,"Large-eared Flying Fox, Big-eared Flying Fox"
2993,Alticola macrotis,"Large-eared Vole, Large-eared Mountain Vole"
2994,Histiotus macrotus,Big-eared Brown Bat
2995,Ratufa macroura,"Sri Lankan Giant Squirrel, Grizzled Giant Squirrel"
2996,Mephitis macroura,Hooded Skunk
2997,Sminthopsis macroura,Stripe-faced Dunnart
2998,Pogonomys macrourus,Chestnut Tree Mouse
2999,Isoodon macrourus,Northern Brown Bandicoot
3000,Atherurus macrourus,Asiatic Brush-tailed Porcupine
3001,Makalata macrura,Long-tailed Tree Rat
3002,Mesembriomys macrurus,Golden-backed Tree-rat
3003,Episoriculus macrurus,"Arboreal Brown-toothed Shrew, Long-tailed Mountain Shrew"
3004,Thylamys macrurus,"Paraguayan Fat-tailed Mouse Opossum, Long-tailed Fat-tailed Opossum"
3005,Rhipidomys macrurus,NA
3006,Genetta maculata,"Large-spotted Genet, Blotched Genet, Central African Large-spotted Genet, Panther Genet, Rusty-spotted Genet"
3007,Balionycteris maculata,Spotted-winged Fruit Bat
3008,Planigale maculata,"Common Planigale, Pygmy Planigale"
3009,Euderma maculatum,Spotted Bat
3010,Dasyurus maculatus,Spotted-tailed Quoll
3011,Spilocuscus maculatus,"Common Spotted Cuscus, Short-tailed Spotted Cuscus, Spotted Phalanger"
3012,Hydrictis maculicollis,"Spotted-necked Otter, Speckle-throated Otter, Spot-necked Otter"
3013,Rousettus madagascariensis,"Madagascan Rousette, Madagascar Rousette"
3014,Otomops madagascariensis,Madagascar Free-tailed Bat
3015,Daubentonia madagascariensis,Aye-aye
3016,Nycteris madagascariensis,Madagascar Slit-faced Bat
3017,Suncus madagascariensis,Madagascan Shrew
3018,Hippopotamus madagascariensis,"Madagascan Dwarf Hippopotamus, Madagascan Pygmy Hippo, Malagasy Hippo"
