"binomial","range_km_2"
"Cheirogaleus medius",4853.5431950239
"Cheirogaleus sibreei",156.5659095169
"Cheiromeles parvidens",193828.595981922
"Cheiromeles torquatus",310000.500843462
"Chelemys macronyx",87050.6456913964
"Chelemys megalonyx",8767.6909329464
"Chibchanomys orcesi",33191.9728175828
"Chibchanomys trichotis",29121.2591701434
"Chilomys instans",103646.632100188
"Chilonatalus micropus",14560.6295850717
"Chilonatalus tumidifrons",156.5659095169
"Chimarrogale hantu",12212.1409423182
"Chimarrogale himalayica",292151.987158535
"Chimarrogale phaeura",3287.8840998549
"Chimarrogale platycephalus",206667.000562308
"Chimarrogale styani",200717.496000666
"Chimarrogale sumatrana",5.53409702001953
"Chinchilla chinchilla",303737.864462786
"Chinchilla lanigera",4853.5431950239
"Chinchillula sahamae",36479.8569174377
"Chionomys gud",2818.1863713042
"Chionomys nivalis",26459.6387083561
"Chionomys roberti",39924.3069268095
"Chiroderma doriae",307652.012200708
"Chiroderma improvisum",156.5659095169
"Chiroderma salvini",1049461.29149178
"Chiroderma trinitatum",3875475.95827183
"Chiroderma villosum",3955481.13803496
"Chiromyscus chiropus",164707.336811779
"Chironax melanocephalus",95348.6388957921
"Chironectes minimus",3574399.71427083
"Chiropodomys calamianensis",1409.0931856521
"Chiropodomys gliroides",666657.64272296
"Chiropodomys karlkoopmani",3287.8840998549
"Chiropodomys major",90181.9638817344
"Chiropodomys muroides",154687.118602697
"Chiropodomys pusillus",448404.764856402
"Chiropotes albinasus",640824.267652672
"Chiropotes chiropotes",833556.902267975
"Chiropotes satanas",94565.8093482076
"Chiropotes utahickae",111944.625304583
"Chiruromys forbesi",23171.7546085012
"Chiruromys lamia",25833.3750702885
"Chiruromys vates",76091.0320252134
"Chlorocebus aethiops",358379.366884184
"Chlorocebus cynosuros",1999190.0986213
"Chlorocebus djamdjamensis",2348.4886427535
"Chlorocebus pygerythrus",2763231.73706377
"Chlorocebus sabaeus",943622.736658356
"Chlorocebus tantalus",3628884.65078271
"Chlorotalpa duthieae",6732.3341092267
"Chlorotalpa sclateri",12525.272761352
"Chodsigoa caovansunga",313.1318190338
"Chodsigoa hypsibia",159070.96406917
"Chodsigoa lamula",6888.9000187436
"Chodsigoa parca",215434.691495254
"Chodsigoa smithii",28651.5614415927
"Chodsigoa sodalis",7828.295475845
"Choeroniscus godmani",1156552.37360134
"Choeroniscus minor",2954555.27849342
"Choeroniscus periosus",34601.0660032349
"Choeronycteris mexicana",258490.316612402
"Choeropsis liberiensis",62782.9297162769
"Choloepus didactylus",3126464.64714298
"Choloepus hoffmanni",940021.720739467
"Chrotogale owstoni",140752.752655693
"Chrotomys gonzalesi",156.5659095169
"Chrotomys mindorensis",25363.6773417378
"Chrotomys sibuyanensis",13.2986405195312
"Chrotomys silaceus",3757.5818284056
"Chrotomys whiteheadi",11585.8773042506
"Chrotopterus auritus",4240587.65926524
"Chrysochloris asiatica",25989.9409798054
"Chrysochloris stuhlmanni",71550.6206492233
"Chrysochloris visagiei",313.1318190338
"Chrysocyon brachyurus",3920880.07203173
"Chrysospalax trevelyani",5323.2409235746
"Chrysospalax villosus",8141.4272948788
"Civettictis civetta",13787663.6897868
"Cloeotis percivali",249252.927950905
"Clyomys laticeps",779385.097575128
"Coccymys ruemmleri",28651.5614415927
"Coelops frithii",802400.286274112
"Coelops robinsoni",115545.641223472
"Coendou bicolor",863147.85916667
"Coendou nycthemera",294343.909891772
"Coendou prehensilis",6505783.23815574
"Coendou quichua",86894.0797818795
"Coleura afra",1929987.96661483
"Coleura seychellensis",313.1318190338
"Colobus angolensis",652723.276775956
"Colobus guereza",577571.640207844
"Colobus polykomos",184747.773229942
"Colobus satanas",151242.668593325
"Colobus vellerosus",117267.866228158
"Colomys goslingi",446839.105761232
"Condylura cristata",1592431.86569639
"Conepatus chinga",1156865.50542037
"Conepatus humboldtii",294657.041710806
"Conepatus leuconotus",457955.285336932
"Conepatus semistriatus",219975.102871244
"Congosorex phillipsorum",156.5659095169
"Congosorex polli",313.1318190338
"Congosorex verheyeni",85641.5525057443
"Conilurus penicillatus",13934.3659470041
"Connochaetes gnou",32409.1432699983
"Connochaetes taurinus",1576931.84065422
"Cormura brevirostris",3796410.17396579
"Corynorhinus mexicanus",43995.0205742489
"Corynorhinus rafinesquii",571935.267465236
"Corynorhinus townsendii",952233.861681786
"Craseonycteris thonglongyai",939.3954571014
"Crateromys australis",22.3415929199219
"Crateromys heaneyi",156.5659095169
"Crateromys paulus",156.5659095169
"Crateromys schadenbergi",1878.7909142028
"Cratogeomys castanops",3914.1477379225
"Cratogeomys fulvescens",1409.0931856521
"Cratogeomys fumosus",26303.0727988392
"Cratogeomys goldmani",313.1318190338
"Cratogeomys merriami",2505.0545522704
"Cratogeomys perotensis",3131.318190338
"Cratogeomys planiceps",2348.4886427535
"Cremnomys cutchicus",461869.433074855
"Cremnomys elvira",15.3148185410156
"Cricetomys gambianus",3262676.98842268
"Cricetulus alticola",1722.2250046859
"Cricetulus barabensis",1370421.40600143
