binomial,AdultBodyMass_g,Red List status,TrophicLevel,Order
Artibeus amplus,61.04,LC,Omnivore,CHIROPTERA
Artibeus concolor,19.65,LC,Herbivore,CHIROPTERA
Artibeus fimbriatus,63.89,LC,Omnivore,CHIROPTERA
Artibeus fraterculus,29.86285714,LC,Omnivore,CHIROPTERA
Artibeus hirsutus,40.42,LC,Omnivore,CHIROPTERA
Artibeus inopinatus,29.86285714,DD,Omnivore,CHIROPTERA
Artibeus jamaicensis,43.63,LC,Omnivore,CHIROPTERA
Artibeus lituratus,59.3,LC,Omnivore,CHIROPTERA
Artibeus obscurus,35.91,LC,Omnivore,CHIROPTERA
Artibeus planirostris,29.86285714,LC,Omnivore,CHIROPTERA
Arvicanthis abyssinicus,73.34,LC,Herbivore,RODENTIA
Arvicanthis ansorgei,110,LC,Herbivore,RODENTIA
Arvicanthis blicki,128,NT,Herbivore,RODENTIA
Arvicanthis nairobae,104,LC,Herbivore,RODENTIA
Arvicanthis neumanni,85,LC,Herbivore,RODENTIA
Arvicanthis niloticus,95.8,LC,Herbivore,RODENTIA
Arvicanthis rufinus,63.85388804,LC,Herbivore,RODENTIA
Arvicola amphibius,120,LC,Omnivore,RODENTIA
Arvicola sapidus,219.99,VU,Herbivore,RODENTIA
Arvicola scherman,46.25861204,LC,Herbivore,RODENTIA
Asellia patrizii,12.94,LC,Insectivore,CHIROPTERA
Asellia tridens,12.94,LC,Insectivore,CHIROPTERA
Aselliscus stoliczkanus,6.09,LC,Insectivore,CHIROPTERA
Aselliscus tricuspidatus,4.08,LC,Insectivore,CHIROPTERA
Atelerix albiventris,293.44,LC,Omnivore,EULIPOTYPHLA
Atelerix algirus,903.98,LC,Omnivore,EULIPOTYPHLA
Atelerix frontalis,329.12,LC,Omnivore,EULIPOTYPHLA
Atelerix sclateri,599.998,LC,Omnivore,EULIPOTYPHLA
Ateles belzebuth,6692.42,EN,Herbivore,PRIMATES
Ateles chamek,7053.92,EN,Herbivore,PRIMATES
Ateles fusciceps,9067.94,CR,Herbivore,PRIMATES
Ateles geoffroyi,7582.4,EN,Herbivore,PRIMATES
Ateles hybridus,8500,CR,Herbivore,PRIMATES
Ateles marginatus,6229.28,EN,Herbivore,PRIMATES
Ateles paniscus,8697.25,VU,Herbivore,PRIMATES
Atelocynus microtis,8363.22,NT,Omnivore,CARNIVORA
Atherurus africanus,2875.65,LC,Omnivore,RODENTIA
Atherurus macrourus,2000,LC,Omnivore,RODENTIA
Atilax paludinosus,3600.16,LC,Omnivore,CARNIVORA
Atlantoxerus getulus,250.57,LC,Herbivore,RODENTIA
Auliscomys boliviensis,70.91,LC,Herbivore,RODENTIA
Auliscomys pictus,48.97,LC,Herbivore,RODENTIA
Auliscomys sublimis,38,LC,Herbivore,RODENTIA
Avahi betsileo,1000,EN,Herbivore,PRIMATES
Avahi cleesei,5500,EN,Herbivore,PRIMATES
Avahi laniger,1092.28,VU,Herbivore,PRIMATES
Avahi meridionalis,1150,EN,Herbivore,PRIMATES
Avahi occidentalis,828.98,EN,Herbivore,PRIMATES
Avahi peyrierasi,1000,VU,Herbivore,PRIMATES
Avahi ramanantsoavanai,1628.751429,VU,Herbivore,PRIMATES
Avahi unicolor,830,EN,Herbivore,PRIMATES
Axis axis,69499.99,LC,Herbivore,CETARTIODACTYLA
Axis calamianensis,39812.6,EN,Herbivore,CETARTIODACTYLA
Axis kuhlii,54999.99,CR,Herbivore,CETARTIODACTYLA
Axis porcinus,37448.29,EN,Herbivore,CETARTIODACTYLA
Babyrousa babyrussa,92950.09,VU,Herbivore,CETARTIODACTYLA
Babyrousa celebensis,80000,VU,Herbivore,CETARTIODACTYLA
Babyrousa togeanensis,85000,EN,Omnivore,CETARTIODACTYLA
Baiomys musculus,8.99,LC,Omnivore,RODENTIA
Baiomys taylori,7.43,LC,Herbivore,RODENTIA
Baiyankamys habbema,141.0605074,DD,Carnivore,RODENTIA
Baiyankamys shawmayeri,141.0605074,LC,Carnivore,RODENTIA
Balantiopteryx infusca,5.27,VU,Insectivore,CHIROPTERA
Balantiopteryx io,3.97,VU,Insectivore,CHIROPTERA
Balantiopteryx plicata,6.57,LC,Insectivore,CHIROPTERA
Balionycteris maculata,14.43,LC,Herbivore,CHIROPTERA
Bandicota bengalensis,226.99,LC,Omnivore,RODENTIA
Bandicota indica,583.09,LC,Omnivore,RODENTIA
Bandicota savilei,260.63,LC,Omnivore,RODENTIA
Barbastella barbastellus,8.31,NT,Insectivore,CHIROPTERA
Barbastella leucomelas,15.05,LC,Insectivore,CHIROPTERA
Bassaricyon alleni,1235,LC,Omnivore,CARNIVORA
Bassaricyon gabbii,1250,LC,Omnivore,CARNIVORA
Bassariscus astutus,1010.37,LC,Omnivore,CARNIVORA
Bassariscus sumichrasti,906,LC,Omnivore,CARNIVORA
Bathyergus janetta,388.69,LC,Herbivore,RODENTIA
Bathyergus suillus,777.38,LC,Herbivore,RODENTIA
Batomys dentatus,177.645,DD,Herbivore,RODENTIA
