binomial,AdultBodyMass_g,Red List status,TrophicLevel,Order
Pseudochirulus mayeri,151.75,LC,Herbivore,DIPROTODONTIA
Pseudochirulus schlegeli,255.44,VU,Herbivore,DIPROTODONTIA
Pseudohydromys ellermani,21.4,LC,Insectivore,RODENTIA
Pseudohydromys fuscus,18.74,LC,Insectivore,RODENTIA
Pseudohydromys germani,29.5,DD,Insectivore,RODENTIA
Pseudohydromys murinus,16.79,LC,Insectivore,RODENTIA
Pseudohydromys occidentalis,21.9,DD,Insectivore,RODENTIA
Pseudois nayaur,52334.57,LC,Herbivore,CETARTIODACTYLA
Pseudomys albocinereus,30.5,LC,Omnivore,RODENTIA
Pseudomys apodemoides,23.78,LC,Omnivore,RODENTIA
Pseudomys australis,52.97,VU,Omnivore,RODENTIA
Pseudomys bolami,15.5,LC,Omnivore,RODENTIA
Pseudomys calabyi,13,VU,Omnivore,RODENTIA
Pseudomys chapmani,10.95,LC,Omnivore,RODENTIA
Pseudomys delicatulus,8.56,LC,Omnivore,RODENTIA
Pseudomys desertor,37.09,LC,Omnivore,RODENTIA
Pseudomys fieldi,42.35,VU,Omnivore,RODENTIA
Pseudomys fumeus,68.75,VU,Herbivore,RODENTIA
Pseudomys gracilicaudatus,79.53,LC,Omnivore,RODENTIA
Pseudomys hermannsburgensis,13.38,LC,Omnivore,RODENTIA
Pseudomys higginsi,63.16,LC,Omnivore,RODENTIA
Pseudomys johnsoni,12,LC,Omnivore,RODENTIA
Pseudomys nanus,70.38,LC,Omnivore,RODENTIA
Pseudomys novaehollandiae,16.8,VU,Omnivore,RODENTIA
Pseudomys occidentalis,34,LC,Omnivore,RODENTIA
Pseudomys oralis,95,VU,Omnivore,RODENTIA
Pseudomys patrius,11,LC,Omnivore,RODENTIA
Pseudomys pilligaensis,10.72,DD,Omnivore,RODENTIA
Pseudomys shortridgei,72.06,NT,Omnivore,RODENTIA
Pseudoryx nghetinhensis,97842.2,CR,Herbivore,CETARTIODACTYLA
Pseudoryzomys simplex,45.2,LC,Omnivore,RODENTIA
Ptenochirus jagori,79.18,LC,Herbivore,CHIROPTERA
Ptenochirus minor,47.02,LC,Herbivore,CHIROPTERA
Pteralopex anceps,574.75,EN,Herbivore,CHIROPTERA
Pteralopex atrata,490.8,EN,Herbivore,CHIROPTERA
Pteralopex flanneryi,452.2333333,CR,Herbivore,CHIROPTERA
Pteralopex taki,452.2333333,VU,Herbivore,CHIROPTERA
Pteromys momonga,151.8,LC,Omnivore,RODENTIA
Pteromys volans,143.09,LC,Herbivore,RODENTIA
Pteromyscus pulverulentus,251.3,EN,Herbivore,RODENTIA
Pteronotus davyi,9.52,LC,Insectivore,CHIROPTERA
Pteronotus gymnonotus,13.6,LC,Insectivore,CHIROPTERA
Pteronotus macleayii,11.268,LC,Insectivore,CHIROPTERA
Pteronotus paraguanensis,11.268,EN,Insectivore,CHIROPTERA
Pteronotus parnellii,19.59,LC,Insectivore,CHIROPTERA
Pteronotus personatus,7.99,LC,Insectivore,CHIROPTERA
Pteronotus quadridens,5.64,LC,Insectivore,CHIROPTERA
Pteronura brasiliensis,26000,EN,Insectivore,CARNIVORA
Pteropus admiralitatum,306.46,LC,Herbivore,CHIROPTERA
Pteropus aldabrensis,310.29,VU,Herbivore,CHIROPTERA
Pteropus alecto,610.13,LC,Herbivore,CHIROPTERA
Pteropus anetianus,397.22,VU,Herbivore,CHIROPTERA
Pteropus aruensis,452.5545,CR,Herbivore,CHIROPTERA
Pteropus caniceps,525.12,VU,Herbivore,CHIROPTERA
Pteropus capistratus,452.5545,NT,Herbivore,CHIROPTERA
Pteropus chrysoproctus,730.19,VU,Herbivore,CHIROPTERA
Pteropus cognatus,452.5545,VU,Herbivore,CHIROPTERA
Pteropus conspicillatus,760.71,LC,Herbivore,CHIROPTERA
Pteropus dasymallus,491.86,VU,Herbivore,CHIROPTERA
Pteropus faunulus,452.5545,VU,Herbivore,CHIROPTERA
Pteropus fundatus,210.67,EN,Herbivore,CHIROPTERA
Pteropus giganteus,824.85,LC,Herbivore,CHIROPTERA
Pteropus gilliardorum,406.94,DD,Herbivore,CHIROPTERA
Pteropus griseus,452.5545,DD,Herbivore,CHIROPTERA
Pteropus howensis,232.92,DD,Herbivore,CHIROPTERA
Pteropus hypomelanus,435.61,LC,Herbivore,CHIROPTERA
Pteropus intermedius,452.5545,DD,Herbivore,CHIROPTERA
Pteropus keyensis,452.5545,DD,Herbivore,CHIROPTERA
Pteropus leucopterus,343.81,LC,Herbivore,CHIROPTERA
Pteropus livingstonii,734.27,CR,Herbivore,CHIROPTERA
Pteropus lombocensis,256.15,DD,Herbivore,CHIROPTERA
Pteropus lylei,319.75,VU,Herbivore,CHIROPTERA
Pteropus macrotis,365.99,LC,Herbivore,CHIROPTERA
Pteropus mahaganus,297.28,LC,Herbivore,CHIROPTERA
Pteropus mariannus,458.58,EN,Herbivore,CHIROPTERA
Pteropus melanopogon,874.94,EN,Herbivore,CHIROPTERA
Pteropus melanotus,452.5545,VU,Herbivore,CHIROPTERA
Pteropus molossinus,452.5545,VU,Herbivore,CHIROPTERA
Pteropus neohibernicus,1017.37,LC,Herbivore,CHIROPTERA
Pteropus niger,474.43,VU,Herbivore,CHIROPTERA
Pteropus nitendiensis,275.56,EN,Herbivore,CHIROPTERA
Pteropus ocularis,228.76,VU,Herbivore,CHIROPTERA
Pteropus ornatus,336.25,VU,Herbivore,CHIROPTERA
Pteropus personatus,130.84,LC,Herbivore,CHIROPTERA
Pteropus pohlei,352.75,VU,Herbivore,CHIROPTERA
Pteropus poliocephalus,702.78,VU,Herbivore,CHIROPTERA
Pteropus pselaphon,452.5545,EN,Herbivore,CHIROPTERA
Pteropus pumilus,184.05,NT,Herbivore,CHIROPTERA
Pteropus rayneri,661.28,NT,Herbivore,CHIROPTERA
Pteropus rennelli,452.5545,EN,Herbivore,CHIROPTERA
Pteropus rodricensis,256.17,EN,Herbivore,CHIROPTERA
Pteropus rufus,452.5545,VU,Herbivore,CHIROPTERA
Pteropus samoensis,309.99,NT,Herbivore,CHIROPTERA
Pteropus scapulatus,380.35,LC,Herbivore,CHIROPTERA
Pteropus seychellensis,492.2,LC,Herbivore,CHIROPTERA
Pteropus speciosus,452.5545,DD,Herbivore,CHIROPTERA
Pteropus temminckii,452.5545,VU,Herbivore,CHIROPTERA
Pteropus tonganus,561.51,LC,Herbivore,CHIROPTERA
Pteropus ualanus,452.5545,VU,Herbivore,CHIROPTERA
Pteropus vampyrus,1027.54,NT,Herbivore,CHIROPTERA
Pteropus vetulus,151.54,VU,Herbivore,CHIROPTERA
Pteropus voeltzkowi,542.4,VU,Herbivore,CHIROPTERA
Pteropus woodfordi,122.67,LC,Herbivore,CHIROPTERA
Ptilocercus lowii,42.5,LC,Omnivore,SCANDENTIA
Pudu mephistophiles,9599.96,VU,Herbivore,CETARTIODACTYLA
Pudu puda,9642.62,NT,Herbivore,CETARTIODACTYLA
Puma concolor,53954.05,LC,Carnivore,CARNIVORA
Punomys kofordi,84.8,VU,Herbivore,RODENTIA
Punomys lemminus,84.8,VU,Herbivore,RODENTIA
Pygathrix cinerea,10050,CR,Herbivore,PRIMATES
Pygathrix nemaeus,9411.1,EN,Herbivore,PRIMATES
Pygathrix nigripes,10333.32,EN,Herbivore,PRIMATES
Pygeretmus platyurus,20,LC,Herbivore,RODENTIA
Pygeretmus pumilio,52.24,LC,Herbivore,RODENTIA
Pygeretmus zhitkovi,14.52907,NT,Herbivore,RODENTIA
Pygoderma bilabiatum,18.5,LC,Herbivore,CHIROPTERA
Rangifer tarandus,109088.5,VU,Herbivore,CETARTIODACTYLA
Raphicerus campestris,11661.53,LC,Herbivore,CETARTIODACTYLA
Raphicerus melanotis,10503.14,LC,Herbivore,CETARTIODACTYLA
Raphicerus sharpei,9396.9,LC,Herbivore,CETARTIODACTYLA
Rattus adustus,156.8354333,DD,Omnivore,RODENTIA
Rattus andamanensis,140,LC,Omnivore,RODENTIA
Rattus annandalei,197.49,LC,Omnivore,RODENTIA
Rattus argentiventer,165.37,LC,Omnivore,RODENTIA
Rattus arrogans,46,LC,Omnivore,RODENTIA
Rattus baluensis,107.5,LC,Omnivore,RODENTIA
Rattus blangorum,156.8354333,DD,Omnivore,RODENTIA
Rattus bontanus,156.8354333,DD,Omnivore,RODENTIA
Rattus burrus,127,EN,Omnivore,RODENTIA
Rattus colletti,146.48,LC,Omnivore,RODENTIA
Rattus elaphinus,131.35,NT,Omnivore,RODENTIA
Rattus enganus,156.8354333,DD,Omnivore,RODENTIA
Rattus everetti,253.53,LC,Omnivore,RODENTIA
Rattus exulans,50.63,LC,Omnivore,RODENTIA
Rattus feliceus,306,NT,Omnivore,RODENTIA
Rattus fuscipes,124.58,LC,Omnivore,RODENTIA
Rattus giluwensis,156.8354333,LC,Omnivore,RODENTIA
Rattus hainaldi,63.85388804,EN,Omnivore,RODENTIA
Rattus hoffmanni,147,LC,Herbivore,RODENTIA
Rattus hoogerwerfi,165,VU,Omnivore,RODENTIA
Rattus jobiensis,380,LC,Omnivore,RODENTIA
Rattus koopmani,156.8354333,DD,Omnivore,RODENTIA
Rattus korinchi,156.8354333,DD,Omnivore,RODENTIA
Rattus leucopus,200.89,LC,Omnivore,RODENTIA
Rattus losea,104.63,LC,Omnivore,RODENTIA
Rattus lugens,224,VU,Omnivore,RODENTIA
Rattus lutreolus,106,LC,Omnivore,RODENTIA
Rattus marmosurus,217,LC,Herbivore,RODENTIA
Rattus mindorensis,156.8354333,LC,Omnivore,RODENTIA
Rattus mollicomulus,63.85388804,VU,Omnivore,RODENTIA
Rattus montanus,136,EN,Omnivore,RODENTIA
Rattus mordax,230,LC,Omnivore,RODENTIA
Rattus morotaiensis,148.25,LC,Omnivore,RODENTIA
Rattus niobe,45.07,LC,Omnivore,RODENTIA
Rattus nitidus,100.02,LC,Omnivore,RODENTIA
Rattus norvegicus,282.89,LC,Carnivore,RODENTIA
Rattus novaeguineae,133,LC,Omnivore,RODENTIA
Rattus omichlodes,70.02,DD,Omnivore,RODENTIA
Rattus osgoodi,93,LC,Omnivore,RODENTIA
Rattus palmarum,491,VU,Omnivore,RODENTIA
Rattus pelurus,156.8354333,DD,Omnivore,RODENTIA
Rattus pococki,46,LC,Omnivore,RODENTIA
Rattus praetor,194.43,LC,Omnivore,RODENTIA
Rattus pyctoris,136,LC,Omnivore,RODENTIA
Rattus ranjiniae,120,EN,Omnivore,RODENTIA
Rattus rattus,142.68,LC,Omnivore,RODENTIA
Rattus richardsoni,64.29,VU,Omnivore,RODENTIA
Rattus salocco,156.8354333,DD,Omnivore,RODENTIA
Rattus satarae,63.85388804,VU,Omnivore,RODENTIA
Rattus simalurensis,127,EN,Omnivore,RODENTIA
Rattus sordidus,157.5,LC,Omnivore,RODENTIA
Rattus steini,151.17,LC,Omnivore,RODENTIA
Rattus stoicus,323,VU,Omnivore,RODENTIA
Rattus tanezumi,140.84,LC,Omnivore,RODENTIA
Rattus tawitawiensis,156.8354333,DD,Omnivore,RODENTIA
Rattus timorensis,156.8354333,DD,Omnivore,RODENTIA
Rattus tiomanicus,119.29,LC,Omnivore,RODENTIA
Rattus tunneyi,169.29,LC,Omnivore,RODENTIA
Rattus vandeuseni,67.24,EN,Omnivore,RODENTIA
Rattus verecundus,97.02,LC,Omnivore,RODENTIA
Rattus villosissimus,221.76,LC,Omnivore,RODENTIA
Rattus xanthurus,303,NT,Herbivore,RODENTIA
Ratufa affinis,1155.82,NT,Herbivore,RODENTIA
Ratufa bicolor,1609.08,NT,Herbivore,RODENTIA
Ratufa indica,1060,LC,Omnivore,RODENTIA
Ratufa macroura,1326.24,NT,Omnivore,RODENTIA
Redunca arundinum,58059.24,LC,Herbivore,CETARTIODACTYLA
Redunca fulvorufula,29352.66,EN,Herbivore,CETARTIODACTYLA
Redunca redunca,43288.95,LC,Herbivore,CETARTIODACTYLA
Reithrodon auritus,79.73,LC,Herbivore,RODENTIA
Reithrodon typicus,50,LC,Herbivore,RODENTIA
Reithrodontomys bakeri,15.87621084,EN,Herbivore,RODENTIA
Reithrodontomys brevirostris,12.9,LC,Herbivore,RODENTIA
Reithrodontomys burti,20,DD,Herbivore,RODENTIA
Reithrodontomys chrysopsis,19,LC,Herbivore,RODENTIA
Reithrodontomys creper,22.8,LC,Herbivore,RODENTIA
Reithrodontomys darienensis,12.99,LC,Herbivore,RODENTIA
Reithrodontomys fulvescens,11.55,LC,Omnivore,RODENTIA
Reithrodontomys gracilis,12.47,LC,Herbivore,RODENTIA
Reithrodontomys hirsutus,20,VU,Herbivore,RODENTIA
Reithrodontomys humulis,8.25,LC,Omnivore,RODENTIA
Reithrodontomys megalotis,10.72,LC,Omnivore,RODENTIA
Reithrodontomys mexicanus,15.71,LC,Herbivore,RODENTIA
Reithrodontomys microdon,20,LC,Herbivore,RODENTIA
Reithrodontomys montanus,10.9,LC,Omnivore,RODENTIA
Reithrodontomys paradoxus,15.87621084,DD,Herbivore,RODENTIA
Reithrodontomys raviventris,10.95,EN,Herbivore,RODENTIA
Reithrodontomys rodriguezi,23.21800602,LC,Herbivore,RODENTIA
Reithrodontomys spectabilis,20.19,CR,Herbivore,RODENTIA
Reithrodontomys sumichrasti,19,LC,Herbivore,RODENTIA
Reithrodontomys tenuirostris,20,VU,Herbivore,RODENTIA
Reithrodontomys zacatecae,11,LC,Herbivore,RODENTIA
Rhabdomys pumilio,40.73,LC,Omnivore,RODENTIA
Rhagomys longilingua,21.2,LC,Omnivore,RODENTIA
Rhagomys rufescens,21.2,NT,Omnivore,RODENTIA
Rheithrosciurus macrotis,1353.27,VU,Herbivore,RODENTIA
Rheomys mexicanus,40,EN,Insectivore,RODENTIA
Rheomys raptor,38,LC,Insectivore,RODENTIA
Rheomys thomasi,40,NT,Carnivore,RODENTIA
Rheomys underwoodi,36.8046878,LC,Insectivore,RODENTIA
Rhinoceros sondaicus,1750000,CR,Herbivore,PERISSODACTYLA
Rhinoceros unicornis,1843656,VU,Herbivore,PERISSODACTYLA
Rhinolophus acuminatus,12.1,LC,Insectivore,CHIROPTERA
Rhinolophus adami,11.14952381,DD,Insectivore,CHIROPTERA
Rhinolophus affinis,13.7,LC,Insectivore,CHIROPTERA
Rhinolophus alcyone,18.62,LC,Insectivore,CHIROPTERA
Rhinolophus arcuatus,8.98,LC,Insectivore,CHIROPTERA
Rhinolophus beddomei,11.14952381,LC,Insectivore,CHIROPTERA
Rhinolophus blasii,10.29,LC,Insectivore,CHIROPTERA
Rhinolophus bocharicus,15.05,LC,Insectivore,CHIROPTERA
Rhinolophus borneensis,11.14952381,LC,Insectivore,CHIROPTERA
Rhinolophus canuti,11.14952381,VU,Insectivore,CHIROPTERA
Rhinolophus capensis,12.87,LC,Insectivore,CHIROPTERA
Rhinolophus celebensis,11.14952381,LC,Insectivore,CHIROPTERA
Rhinolophus clivosus,11.14952381,LC,Insectivore,CHIROPTERA
Rhinolophus coelophyllus,7.07,LC,Insectivore,CHIROPTERA
Rhinolophus cognatus,11.14952381,EN,Insectivore,CHIROPTERA
Rhinolophus convexus,11.14952381,DD,Insectivore,CHIROPTERA
Rhinolophus creaghi,11.14952381,LC,Insectivore,CHIROPTERA
Rhinolophus darlingi,8.94,LC,Insectivore,CHIROPTERA
Rhinolophus deckenii,11.14952381,NT,Insectivore,CHIROPTERA
Rhinolophus denti,6.3,LC,Insectivore,CHIROPTERA
Rhinolophus eloquens,19.15,LC,Insectivore,CHIROPTERA
Rhinolophus euryale,9.25,NT,Insectivore,CHIROPTERA
Rhinolophus euryotis,14.3,LC,Insectivore,CHIROPTERA
Rhinolophus ferrumequinum,22.59,LC,Insectivore,CHIROPTERA
Rhinolophus formosae,11.14952381,NT,Insectivore,CHIROPTERA
Rhinolophus fumigatus,13.09,LC,Insectivore,CHIROPTERA
Rhinolophus guineensis,11.14952381,VU,Insectivore,CHIROPTERA
Rhinolophus hilli,13.6,CR,Insectivore,CHIROPTERA
Rhinolophus hillorum,11.14952381,NT,Insectivore,CHIROPTERA
Rhinolophus hipposideros,4.57,LC,Insectivore,CHIROPTERA
Rhinolophus inops,13.65,LC,Insectivore,CHIROPTERA
Rhinolophus keyensis,6.26,DD,Insectivore,CHIROPTERA
Rhinolophus landeri,9.39,LC,Insectivore,CHIROPTERA
Rhinolophus lepidus,5.46,LC,Insectivore,CHIROPTERA
Rhinolophus luctus,34.07,LC,Insectivore,CHIROPTERA
Rhinolophus maclaudi,11.14952381,EN,Insectivore,CHIROPTERA
Rhinolophus macrotis,6.18,LC,Insectivore,CHIROPTERA
Rhinolophus madurensis,11.14952381,VU,Insectivore,CHIROPTERA
Rhinolophus maendeleo,11.14952381,DD,Insectivore,CHIROPTERA
Rhinolophus malayanus,6.73,LC,Insectivore,CHIROPTERA
Rhinolophus marshalli,5.02,LC,Insectivore,CHIROPTERA
Rhinolophus megaphyllus,10.17,LC,Insectivore,CHIROPTERA
Rhinolophus mehelyi,14.03,VU,Insectivore,CHIROPTERA
Rhinolophus mitratus,11.14952381,DD,Insectivore,CHIROPTERA
Rhinolophus montanus,11.14952381,EN,Insectivore,CHIROPTERA
Rhinolophus nereis,11.14952381,DD,Insectivore,CHIROPTERA
Rhinolophus osgoodi,11.14952381,DD,Insectivore,CHIROPTERA
Rhinolophus paradoxolophus,8.17,LC,Insectivore,CHIROPTERA
Rhinolophus pearsonii,11.55,LC,Insectivore,CHIROPTERA
Rhinolophus philippinensis,10.91,LC,Insectivore,CHIROPTERA
Rhinolophus pusillus,5.15,LC,Insectivore,CHIROPTERA
Rhinolophus rex,11.14952381,LC,Insectivore,CHIROPTERA
Rhinolophus robinsoni,8.54,NT,Insectivore,CHIROPTERA
Rhinolophus rouxii,12.25,LC,Insectivore,CHIROPTERA
Rhinolophus rufus,11.14952381,NT,Insectivore,CHIROPTERA
Rhinolophus ruwenzorii,11.14952381,VU,Insectivore,CHIROPTERA
Rhinolophus sakejiensis,11.14952381,DD,Insectivore,CHIROPTERA
Rhinolophus sedulus,8.74,NT,Insectivore,CHIROPTERA
Rhinolophus shameli,9.61,LC,Insectivore,CHIROPTERA
Rhinolophus shortridgei,11.14952381,LC,Insectivore,CHIROPTERA
Rhinolophus siamensis,11.14952381,LC,Insectivore,CHIROPTERA
Rhinolophus silvestris,11.14952381,DD,Insectivore,CHIROPTERA
Rhinolophus simulator,8.13,LC,Insectivore,CHIROPTERA
Rhinolophus sinicus,11.14952381,LC,Insectivore,CHIROPTERA
Rhinolophus stheno,7.92,LC,Insectivore,CHIROPTERA
Rhinolophus subbadius,11.14952381,LC,Insectivore,CHIROPTERA
Rhinolophus subrufus,11.14952381,DD,Insectivore,CHIROPTERA
Rhinolophus swinnyi,7.07,LC,Insectivore,CHIROPTERA
Rhinolophus thomasi,8.26,LC,Insectivore,CHIROPTERA
Rhinolophus trifoliatus,15.16,LC,Insectivore,CHIROPTERA
Rhinolophus virgo,6.06,LC,Insectivore,CHIROPTERA
Rhinolophus yunanensis,19.33,LC,Insectivore,CHIROPTERA
Rhinolophus ziama,11.14952381,EN,Insectivore,CHIROPTERA
Rhinonicteris aurantia,8.99,LC,Insectivore,CHIROPTERA
Rhinophylla alethina,9.59,NT,Herbivore,CHIROPTERA
Rhinophylla fischerae,9.6,LC,Herbivore,CHIROPTERA
Rhinophylla pumilio,9.58,LC,Omnivore,CHIROPTERA
Rhinopithecus avunculus,9086.19,CR,Herbivore,PRIMATES
Rhinopithecus bieti,11000.54,EN,Herbivore,PRIMATES
Rhinopithecus brelichi,12267.15,EN,Herbivore,PRIMATES
Rhinopithecus roxellana,13456.8,EN,Omnivore,PRIMATES
Rhinopithecus strykeri,11452.67,CR,NotAssigned,PRIMATES
Rhinopoma hadramauticum,9.13,EN,NotAssigned,CHIROPTERA
Rhinopoma hardwickii,13.1,LC,Insectivore,CHIROPTERA
Rhinopoma microphyllum,28.02,LC,Insectivore,CHIROPTERA
Rhinopoma muscatellum,9.13,LC,Insectivore,CHIROPTERA
Rhinosciurus laticaudatus,230.3,NT,Omnivore,RODENTIA
Rhipidomys austrinus,89,LC,Omnivore,RODENTIA
Rhipidomys cariri,76.24098976,DD,Omnivore,RODENTIA
Rhipidomys caucensis,89,DD,Omnivore,RODENTIA
Rhipidomys couesi,89,LC,Omnivore,RODENTIA
Rhipidomys emiliae,46.25861204,LC,Omnivore,RODENTIA
Rhipidomys fulviventer,89,LC,Omnivore,RODENTIA
Rhipidomys gardneri,76.24098976,LC,Omnivore,RODENTIA
Rhipidomys latimanus,57.5,LC,Omnivore,RODENTIA
Rhipidomys leucodactylus,80,LC,Omnivore,RODENTIA
Rhipidomys macconnelli,41.59,LC,Omnivore,RODENTIA
Rhipidomys macrurus,46.25861204,LC,Omnivore,RODENTIA
Rhipidomys mastacalis,100,LC,Omnivore,RODENTIA
Rhipidomys modicus,46.25861204,LC,Omnivore,RODENTIA
Rhipidomys nitela,89,LC,Omnivore,RODENTIA
Rhipidomys ochrogaster,89,DD,Omnivore,RODENTIA
Rhipidomys venezuelae,89.99,LC,Omnivore,RODENTIA
Rhipidomys venustus,89,LC,Omnivore,RODENTIA
Rhipidomys wetzeli,89,LC,Omnivore,RODENTIA
Rhizomys pruinosus,2450,LC,Herbivore,RODENTIA
Rhizomys sinensis,82.495,LC,Herbivore,RODENTIA
Rhizomys sumatrensis,2500,LC,Herbivore,RODENTIA
Rhogeessa aeneus,4.233333333,LC,Insectivore,CHIROPTERA
Rhogeessa alleni,4.233333333,LC,Insectivore,CHIROPTERA
Rhogeessa genowaysi,4.233333333,EN,Insectivore,CHIROPTERA
Rhogeessa gracilis,4.233333333,LC,Insectivore,CHIROPTERA
Rhogeessa hussoni,4.233333333,DD,Insectivore,CHIROPTERA
Rhogeessa io,4.233333333,LC,Insectivore,CHIROPTERA
Rhogeessa minutilla,3.75,VU,Insectivore,CHIROPTERA
Rhogeessa mira,4.233333333,VU,Insectivore,CHIROPTERA
Rhogeessa parvula,4.37,LC,Insectivore,CHIROPTERA
Rhogeessa tumida,4.58,LC,Insectivore,CHIROPTERA
Rhombomys opimus,285,LC,Herbivore,RODENTIA
Rhynchocyon chrysopygus,535.2,EN,Insectivore,MACROSCELIDEA
Rhynchocyon cirnei,424.92,LC,Insectivore,MACROSCELIDEA
Rhynchocyon petersi,423.99,LC,Carnivore,MACROSCELIDEA
Rhynchocyon udzungwensis,711,VU,Carnivore,MACROSCELIDEA
Rhynchogale melleri,2240.33,LC,Omnivore,CARNIVORA
Rhyncholestes raphanurus,21.94,NT,Omnivore,PAUCITUBERCULATA
Rhynchomeles prattorum,602.2906,EN,Omnivore,PERAMELEMORPHIA
Rhynchomys banahao,154.645,LC,Insectivore,RODENTIA
Rhynchomys isarogensis,122.29,VU,Insectivore,RODENTIA
Rhynchomys soricoides,187,NT,Insectivore,RODENTIA
Rhynchomys tapulao,154.645,DD,Insectivore,RODENTIA
Rhynchonycteris naso,4.14,LC,Insectivore,CHIROPTERA
Romerolagus diazi,465.58,EN,Herbivore,LAGOMORPHA
Rousettus aegyptiacus,134,LC,Herbivore,CHIROPTERA
Rousettus amplexicaudatus,74.37,LC,Herbivore,CHIROPTERA
Rousettus bidens,83.0575,VU,Herbivore,CHIROPTERA
Rousettus celebensis,63.07,LC,Herbivore,CHIROPTERA
Rousettus lanosus,104.78,LC,Herbivore,CHIROPTERA
Rousettus leschenaultii,84.88,LC,Herbivore,CHIROPTERA
Rousettus linduensis,83.0575,DD,Herbivore,CHIROPTERA
Rousettus madagascariensis,65.72,NT,Herbivore,CHIROPTERA
Rousettus obliviosus,45.32,VU,Herbivore,CHIROPTERA
Rousettus spinalatus,92.32,VU,Herbivore,CHIROPTERA
Rubrisciurus rubriventer,685,VU,Herbivore,RODENTIA
Rucervus duvaucelii,171223.9,VU,Herbivore,CETARTIODACTYLA
Rucervus eldii,95471.61,EN,Herbivore,CETARTIODACTYLA
Rungwecebus kipunji,13,CR,Herbivore,PRIMATES
Rupicapra pyrenaica,29999.99,LC,Herbivore,CETARTIODACTYLA
Rupicapra rupicapra,33266.35,LC,Herbivore,CETARTIODACTYLA
Rusa alfredi,46475.04,EN,Herbivore,CETARTIODACTYLA
Rusa marianna,49457.61,VU,Herbivore,CETARTIODACTYLA
Rusa timorensis,66375.5,VU,Herbivore,CETARTIODACTYLA
Rusa unicolor,177522.9,VU,Herbivore,CETARTIODACTYLA
Ruwenzorisorex suncoides,18.2,VU,Insectivore,EULIPOTYPHLA
Saccolaimus flaviventris,45.25,LC,Insectivore,CHIROPTERA
Saccolaimus mixtus,47.2,NT,Insectivore,CHIROPTERA
Saccolaimus peli,53.35,LC,Insectivore,CHIROPTERA
Saccolaimus saccolaimus,43,LC,Insectivore,CHIROPTERA
Saccopteryx antioquensis,5.745,EN,Insectivore,CHIROPTERA
Saccopteryx bilineata,8.08,LC,Insectivore,CHIROPTERA
Saccopteryx canescens,3.41,LC,Insectivore,CHIROPTERA
Saccopteryx gymnura,5.745,DD,Insectivore,CHIROPTERA
Saccopteryx leptura,5.745,LC,Insectivore,CHIROPTERA
Saccostomus campestris,50.33,LC,Omnivore,RODENTIA
Saccostomus mearnsi,64.91,LC,Omnivore,RODENTIA
Saguinus bicolor,465,EN,Omnivore,PRIMATES
Saguinus fuscicollis,393.99,LC,Omnivore,PRIMATES
Saguinus geoffroyi,492.5,LC,Omnivore,PRIMATES
Saguinus imperator,407.91,LC,Omnivore,PRIMATES
Saguinus inustus,803,LC,Omnivore,PRIMATES
Saguinus labiatus,508.46,LC,Omnivore,PRIMATES
Saguinus leucopus,456.68,EN,Omnivore,PRIMATES
Saguinus martinsi,430,LC,Omnivore,PRIMATES
Saguinus melanoleucus,350,LC,Omnivore,PRIMATES
Saguinus midas,540.56,LC,Omnivore,PRIMATES
Saguinus mystax,555.87,LC,Omnivore,PRIMATES
Saguinus niger,480,VU,Omnivore,PRIMATES
Saguinus nigricollis,450,LC,Omnivore,PRIMATES
Saguinus oedipus,462.04,CR,Omnivore,PRIMATES
Saguinus tripartitus,385.05,NT,Omnivore,PRIMATES
Saiga tatarica,37734.01,CR,Herbivore,CETARTIODACTYLA
Saimiri boliviensis,799.45,LC,Omnivore,PRIMATES
Saimiri oerstedii,714.18,VU,Omnivore,PRIMATES
Saimiri sciureus,749.47,LC,Omnivore,PRIMATES
Saimiri ustus,886.47,NT,Omnivore,PRIMATES
Saimiri vanzolinii,783.77,VU,Omnivore,PRIMATES
Salanoia concolor,711.49,VU,Omnivore,CARNIVORA
Salinomys delicatus,11.75,DD,Omnivore,RODENTIA
Salpingotulus michaelis,3.75,DD,Herbivore,RODENTIA
Salpingotus crassicauda,9.65,LC,Omnivore,RODENTIA
Salpingotus heptneri,9.65,DD,Omnivore,RODENTIA
Salpingotus kozlovi,9.5,LC,Omnivore,RODENTIA
Salpingotus pallidus,9.8,DD,Omnivore,RODENTIA
Santamartamys rufodorsalis,148,CR,Herbivore,RODENTIA
Sapajus flavius,2920,CR,NotAssigned,PRIMATES
Sarcophilus harrisii,8202.25,EN,Carnivore,DASYUROMORPHIA
Sauromys petrophilus,14.25,LC,Insectivore,CHIROPTERA
Saxatilomys paulinae,141.0605074,DD,Insectivore,RODENTIA
Scalopus aquaticus,87.15,LC,Omnivore,EULIPOTYPHLA
Scapanulus oweni,36.64,LC,Insectivore,EULIPOTYPHLA
Scapanus latimanus,62.46,LC,Omnivore,EULIPOTYPHLA
Scapanus orarius,62.13,LC,Insectivore,EULIPOTYPHLA
Scapanus townsendii,141.7,LC,Insectivore,EULIPOTYPHLA
Scapteromys aquaticus,112,LC,Omnivore,RODENTIA
Scapteromys tumidus,146,LC,Omnivore,RODENTIA
Scaptochirus moschatus,90.51,LC,Insectivore,EULIPOTYPHLA
Scaptonyx fusicaudus,19.41,LC,Insectivore,EULIPOTYPHLA
